Voltage = 6.30
shot, time (s), fps
1, 6.3,  73.7
2, 8.4,  63.1
3, 10.4,  62.8
4, 12.3,  76.2
5, 14.4,  66.1
6, 16.2,  71.0
7, 18.1,  73.3
8, 20.0,  75.3
9, 21.9,  76.3
10, 35.5,  74.7
