shot, time (s), fps
1, 11.2,  74.9
2, 14.4,  73.0
3, 16.1,  72.9
4, 17.7,  73.2
5, 19.3,  73.5
6, 20.9,  75.4
7, 22.6,  74.7
8, 24.2,  74.8
9, 25.8,  74.5
10, 27.4,  74.2
