shot, time (s), fps
1, 7.6,  59.1
2, 9.6,  66.4
3, 11.6,  65.5
4, 13.7,  65.5
5, 15.4,  64.8
6, 17.1,  65.0
7, 18.8,  65.0
8, 20.7,  65.5
9, 22.3,  65.8
10, 24.0,  67.3
