Shot #2  64.08 sec  62.2 fps  18.9 m/s  42.4 mph  
Shot #3  66.63 sec  66.1 fps  20.1 m/s  45.0 mph  
Shot #4  69.11 sec  74.0 fps  22.6 m/s  50.5 mph  
Shot #5  71.61 sec  72.9 fps  22.2 m/s  49.7 mph  
Shot #6  74.07 sec  63.6 fps  19.4 m/s  43.4 mph  
Shot #7  76.36 sec  74.8 fps  22.8 m/s  51.0 mph  
Shot #8  78.66 sec  68.0 fps  20.7 m/s  46.4 mph  
Shot #9  80.96 sec  75.9 fps  23.1 m/s  51.8 mph  
Shot #10  83.10 sec  73.1 fps  22.3 m/s  49.8 mph  
Shot #11  85.20 sec  75.3 fps  23.0 m/s  51.4 mph  
