shot, time (s), fps
1, 12.6,  100.3
2, 17.3,  97.0
3, 19.0,  97.1
4, 20.7,  91.1
5, 22.5,  89.5
6, 24.3,  98.3
7, 26.2,  97.3
8, 28.2,  97.5
9, 29.9,  97.1
10, 35.4,  99.4
