shot, time (s), fps, rpm
1, 12.1,  74.4, 12573
2, 13.9,  82.9, 14381
3, 15.3,  80.3, 14381
4, 16.7,  78.0, 12437
5, 18.1,  82.1, 12975
6, 19.5,  77.8, 12175
7, 20.7,  77.5, 13901
8, 22.1,  82.4, 13876
9, 23.4,  82.1, 14895
10, 24.6,  81.8, 13380
11, 25.8,  82.1, 12679
