shot, time (s), fps, rpm
1, 16.2,  87.1, 16198
2, 17.7,  82.5, 14563
3, 19.2,  84.5, 13181
4, 20.8,  85.7, 13157
5, 22.3,  84.6, 13020
6, 23.7,  88.3, 15243
7, 25.2,  95.3, 15243
8, 26.7,  82.4, 14231
9, 28.1,  91.1, 15544
10, 29.5,  91.6, 14231
11, 31.0,  95.1, 13736

