Found INA260 chip
Voltage = 8.22
shot, time (s), fps
1, 3.2,  97.0
2, 4.9,  105.1
3, 6.6,  92.7
4, 8.3,  82.9
5, 10.0,  85.8
6, 11.7,  97.1
7, 13.4,  99.6
8, 15.1,  107.8
9, 17.0,  104.2
10, 18.8,  105.1
