Nitecore 650mAh, fuse bipassed
shot, time (s), fps, rpm
Adafruit INA260 Test
Found INA260 chip
shot, time (s), fps, rpm
1, 7.2,  111.4, 17381
2, 10.1,  108.4, 18656
3, 26.6,  108.0, 17361
4, 28.7,  115.3, 17482
5, 30.9,  115.3, 19379
6, 35.5,  111.4, 18292
7, 37.2,  114.0, 18404
8, 38.8,  119.1, 18587
9, 40.6,  104.9, 18427
10, 58.6,  111.6, 17899
