shot, time (s), fps
1, 109.7,  73.1
2, 111.5,  76.5
3, 113.4,  72.4
4, 115.1,  73.5
5, 116.8,  74.6
6, 120.3,  75.6
7, 122.0,  77.2
8, 123.5,  81.8
9, 125.2,  74.5
10, 126.6,  77.6
