shot, time (s), fps
1, 44.0,  97.9
2, 53.1,  99.6
3, 56.7,  99.9
4, 58.6,  106.2
5, 60.4,  97.3
6, 62.2,  97.9
7, 63.8,  106.2
8, 65.7,  106.2
9, 67.5,  105.8
10, 69.2,  106.8
