Found INA260 chip
Voltage = 6.64
shot, time (s), fps
1, 11.5,  77.4
2, 13.1,  78.6
3, 14.6,  84.0
4, 16.2,  80.3
5, 17.7,  84.0
6, 19.3,  82.9
7, 20.8,  80.8
8, 22.3,  79.2
9, 23.8,  84.7
10, 25.3,  84.2
