enloop, stock wiring
time (ms), rpm, mA, V, fps
8796, 10330, 0.00, 5.59,
8808, 10252, 0.00, 5.59,
8819, 10238, 0.00, 5.59,
8830, 10183, 0.00, 5.59,
8841, 10162, 0.00, 5.59,
8852, 10114, 0.00, 5.59,
8864, 10060, 0.00, 5.59,
8875, 10006, 0.00, 5.59,
8886, 9953, 0.00, 5.59,
8897, 9900, 0.00, 5.59,
8908, 9855, 0.00, 5.59,
8919, 9855, 0.00, 5.59,
8930, 9784, 0.00, 5.59,
8941, 9733, 0.00, 5.59,
8952, 9683, 0.00, 5.59,
8963, 9609, 0.00, 5.59,
8974, 9590, 0.00, 5.59,
8985, 9548, 0.00, 5.59,
8996, 9493, 0.00, 5.59,
9007, 9445, 0.00, 5.59,
9018, 9428, 0.00, 5.59,
9029, 9375, 0.00, 5.59,
9041, 9322, 0.00, 5.59,
9052, 9264, 0.00, 5.59,
9063, 9247, 1.25, 5.59,
9074, 9174, 0.00, 5.59,
9085, 9140, 0.00, 5.59,
9096, 9118, 0.00, 5.59,
9107, 9063, 0.00, 5.59,
9118, 9009, 0.00, 5.59,
9129, 8982, 0.00, 5.59,
9140, 8933, 0.00, 5.59,
9151, 8896, 0.00, 5.59,
9162, 8854, 0.00, 5.59,
9175, 8797, 0.00, 5.59,
9187, 8726, 0.00, 5.59,
9199, 8741, 0.00, 5.59,
9210, 8665, 0.00, 5.59,
9221, 8615, 0.00, 5.59,
9232, 8586, 0.00, 5.59,
9244, 8508, 0.00, 5.59,
9256, 8469, 0.00, 5.59,
9267, 8465, 0.00, 5.59,
9278, 8398, 0.00, 5.59,
9289, 8389, 0.00, 5.59,
9300, 8319, 0.00, 5.59,
9311, 8296, 0.00, 5.59,
9322, 8223, 0.00, 5.59,
9333, 8246, 0.00, 5.59,
9344, 8147, 0.00, 5.59,
9355, 8156, 0.00, 5.59,
9366, 8073, 0.00, 5.59,
9377, 8047, 0.00, 5.59,
9388, 7966, 0.00, 5.59,
9399, 7966, 0.00, 5.59,
9410, 7911, 0.00, 5.59,
9421, 7878, 0.00, 5.59,
9432, 7824, 0.00, 5.59,
9443, 7792, 0.00, 5.59,
9454, 7776, 0.00, 5.59,
9465, 7716, 0.00, 5.59,
9476, 7692, 0.00, 5.59,
9487, 7606, 0.00, 5.59,
9498, 7602, 0.00, 5.59,
9509, 7583, 0.00, 5.59,
9520, 7515, 0.00, 5.59,
9531, 7488, 0.00, 5.59,
9542, 7477, 0.00, 5.59,
9554, 7400, 0.00, 5.59,
9565, 7374, 0.00, 5.59,
9576, 7317, 0.00, 5.59,
9587, 7288, 0.00, 5.59,
9598, 7270, 0.00, 5.59,
9609, 7190, 0.00, 5.59,
9620, 7170, 0.00, 5.59,
9631, 7142, 0.00, 5.59,
9643, 7082, 0.00, 5.59,
9654, 7055, 0.00, 5.59,
9665, 7032, 0.00, 5.59,
9676, 6963, 0.00, 5.59,
9687, 6934, 0.00, 5.59,
9698, 6906, 1.25, 5.59,
9709, 6877, 0.00, 5.59,
9720, 6818, 0.00, 5.59,
9732, 6787, 0.00, 5.59,
9744, 6756, 0.00, 5.59,
9755, 6690, 0.00, 5.59,
9766, 6666, 0.00, 5.59,
9777, 6637, 0.00, 5.59,
9789, 6607, 0.00, 5.59,
9801, 6538, 0.00, 5.59,
9812, 6516, 0.00, 5.59,
9823, 6482, 0.00, 5.59,
9834, 6454, 0.00, 5.59,
9846, 6423, 0.00, 5.59,
9857, 6361, 0.00, 5.59,
9868, 6329, 0.00, 5.59,
9879, 6299, 0.00, 5.59,
9890, 6265, 0.00, 5.59,
9901, 6237, 0.00, 5.59,
9912, 6203, 0.00, 5.59,
9923, 6183, 0.00, 5.59,
9935, 6112, 0.00, 5.59,
9946, 6077, 0.00, 5.59,
9957, 6045, 0.00, 5.59,
9968, 6014, 0.00, 5.59,
9979, 5985, 1.25, 5.59,
9990, 5945, 0.00, 5.59,
10001, 5917, 0.00, 5.59,
10012, 5896, 0.00, 5.59,
10023, 5859, 0.00, 5.59,
10034, 5804, 0.00, 5.59,
10045, 5753, 0.00, 5.59,
10056, 5723, 0.00, 5.59,
10067, 5688, 0.00, 5.59,
10079, 5656, 0.00, 5.59,
10091, 5624, 0.00, 5.59,
10103, 5590, 0.00, 5.59,
10114, 5547, 0.00, 5.59,
10125, 5530, 0.00, 5.59,
10136, 5488, 0.00, 5.59,
10147, 5464, 0.00, 5.59,
10158, 5424, 1.25, 5.59,
10169, 5372, 0.00, 5.59,
10180, 5353, 0.00, 5.59,
10191, 5319, 0.00, 5.59,
10203, 5281, 0.00, 5.59,
10215, 5250, 0.00, 5.59,
10227, 5215, 1.25, 5.59,
10240, 5186, 0.00, 5.59,
10251, 5144, 0.00, 5.59,
10262, 5112, 0.00, 5.59,
10273, 5074, 0.00, 5.59,
10284, 5030, 0.00, 5.59,
10296, 5005, 0.00, 5.59,
10308, 4966, 0.00, 5.59,
10320, 4929, 0.00, 5.59,
10331, 4895, 0.00, 5.59,
10342, 4857, 0.00, 5.59,
10353, 4821, 0.00, 5.59,
10364, 4821, 0.00, 5.59,
10376, 4786, 0.00, 5.59,
10387, 4748, 0.00, 5.59,
10398, 4718, 0.00, 5.59,
10409, 4668, 0.00, 5.59,
10420, 4635, 0.00, 5.59,
10432, 4599, 0.00, 5.59,
10444, 4560, 0.00, 5.59,
10455, 4560, 0.00, 5.59,
10466, 4522, 0.00, 5.59,
10477, 4485, 0.00, 5.59,
10488, 4449, 0.00, 5.59,
10499, 4406, 0.00, 5.59,
10510, 4369, 0.00, 5.59,
10521, 4369, 1.25, 5.59,
10532, 4340, 0.00, 5.59,
10544, 4282, 0.00, 5.59,
10556, 4250, 0.00, 5.59,
10568, 4209, 0.00, 5.59,
10580, 4209, 0.00, 5.59,
10591, 4170, 0.00, 5.59,
10602, 4136, 0.00, 5.59,
10613, 4084, 0.00, 5.59,
10625, 4084, 0.00, 5.59,
10637, 4049, 0.00, 5.59,
10649, 4017, 0.00, 5.59,
10661, 3957, 0.00, 5.59,
10672, 3926, 0.00, 5.59,
10683, 3926, 0.00, 5.59,
10694, 3890, 0.00, 5.59,
10705, 3833, 0.00, 5.59,
10717, 3833, 0.00, 5.59,
10729, 3793, 0.00, 5.59,
10741, 3757, 0.00, 5.59,
10752, 3711, 0.00, 5.59,
10763, 3711, 0.00, 5.59,
10774, 3675, 0.00, 5.59,
10785, 3617, 0.00, 5.59,
10797, 3617, 1.25, 5.59,
10809, 3588, 0.00, 5.59,
10821, 3526, 0.00, 5.59,
10833, 3488, 0.00, 5.59,
10844, 3488, 0.00, 5.59,
10855, 3442, 0.00, 5.59,
10866, 3442, 0.00, 5.59,
10877, 3395, 0.00, 5.59,
10888, 3347, 0.00, 5.59,
10899, 3347, 0.00, 5.59,
10910, 3304, 0.00, 5.59,
10921, 3304, 0.00, 5.59,
10933, 3249, 0.00, 5.59,
10944, 3205, 0.00, 5.59,
10955, 3205, 0.00, 5.59,
10966, 3163, 0.00, 5.59,
10977, 3163, 0.00, 5.59,
10989, 3103, 0.00, 5.59,
11001, 3054, 0.00, 5.59,
11012, 3054, 0.00, 5.59,
11023, 3006, 0.00, 5.59,
11034, 3006, 1.25, 5.59,
11045, 2954, 0.00, 5.59,
11057, 2954, 0.00, 5.59,
11068, 2908, 0.00, 5.59,
11079, 2908, 0.00, 5.59,
11090, 2846, 0.00, 5.59,
11101, 2846, 1.25, 5.59,
11112, 2791, 0.00, 5.59,
11124, 2791, 0.00, 5.59,
11137, 2731, 0.00, 5.59,
11149, 2682, 0.00, 5.59,
11160, 2682, 0.00, 5.59,
11171, 2626, 0.00, 5.59,
11182, 2626, 0.00, 5.59,
11193, 2626, 0.00, 5.59,
11205, 2568, 0.00, 5.59,
11217, 2568, 0.00, 5.59,
11228, 2510, 0.00, 5.59,
11239, 2510, 0.00, 5.59,
11250, 2456, 0.00, 5.59,
11261, 2456, 0.00, 5.59,
11272, 2386, 0.00, 5.59,
11283, 2386, 0.00, 5.59,
11294, 2322, 0.00, 5.59,
11305, 2322, 0.00, 5.59,
11317, 2322, 0.00, 5.59,
11329, 2265, 0.00, 5.59,
11341, 2265, 0.00, 5.59,
11352, 2194, 0.00, 5.59,
11363, 2194, 0.00, 5.59,
11374, 2194, 0.00, 5.59,
11385, 2121, 0.00, 5.59,
11396, 2121, 0.00, 5.59,
11407, 2059, 0.00, 5.59,
11418, 2059, 0.00, 5.59,
11429, 2059, 0.00, 5.59,
11441, 1991, 0.00, 5.59,
11453, 1991, 0.00, 5.59,
11465, 1991, 0.00, 5.59,
11478, 1914, 0.00, 5.59,
11490, 1914, 0.00, 5.59,
11502, 1841, 0.00, 5.59,
11514, 1841, 0.00, 5.59,
11525, 1841, 0.00, 5.59,
11536, 1762, 0.00, 5.59,
11547, 1762, 0.00, 5.59,
11558, 1762, 0.00, 5.59,
11569, 1680, 0.00, 5.59,
11580, 1680, 0.00, 5.59,
11591, 1680, 0.00, 5.59,
11602, 1680, 0.00, 5.59,
11614, 1597, 0.00, 5.59,
11626, 1597, 0.00, 5.59,
11638, 1597, 0.00, 5.59,
11649, 1502, 0.00, 5.59,
11660, 1502, 0.00, 5.59,
11671, 1502, 0.00, 5.59,
11682, 1502, 0.00, 5.59,
11694, 1414, 0.00, 5.59,
11705, 1414, 0.00, 5.59,
11716, 1414, 0.00, 5.59,
11727, 1414, 0.00, 5.59,
11783, 1202, 0.00, 5.59,
11794, 1202, 0.00, 5.59,
11805, 1202, 0.00, 5.59,
11816, 1202, 0.00, 5.59,
11828, 1202, 0.00, 5.59,
11840, 1089, 0.00, 5.59,
11852, 1089, 0.00, 5.59,
11863, 1089, 0.00, 5.59,
11874, 1089, 0.00, 5.59,
11885, 1089, 0.00, 5.59,
11896, 1089, 0.00, 5.59,
11907, 962, 0.00, 5.59,
11918, 962, 0.00, 5.59,
11929, 962, 0.00, 5.59,
11940, 962, 0.00, 5.59,
11951, 962, 0.00, 5.59,
11962, 962, 0.00, 5.59,
11973, 962, 0.00, 5.59,
11984, 810, 0.00, 5.59,
11995, 810, 0.00, 5.59,
12006, 810, 0.00, 5.59,
12017, 810, 0.00, 5.59,
12028, 810, 0.00, 5.59,
12039, 810, 0.00, 5.59,
12050, 810, 0.00, 5.59,
12061, 810, 0.00, 5.59,
12072, 623, 0.00, 5.59,
12083, 623, 0.00, 5.59,
12094, 623, 0.00, 5.59,
12105, 623, 0.00, 5.59,
12116, 623, 0.00, 5.59,
12127, 623, 0.00, 5.59,
12138, 623, 1.25, 5.59,
12149, 623, 0.00, 5.59,
12161, 623, 0.00, 5.59,
12173, 623, 0.00, 5.59,
12184, 623, 0.00, 5.59,
12195, 623, 0.00, 5.59,
12206, 623, 0.00, 5.59,
12217, 623, 0.00, 5.59,
12228, 623, 0.00, 5.59,
12239, 623, 0.00, 5.59,
12250, 623, 0.00, 5.59,
12262, 623, 0.00, 5.59,
12274, 623, 0.00, 5.59,
