Adafruit INA260 Test
Found INA260 chip
shot, time (s), fps, rpm
1, 7.7,  79.0, 12295
2, 9.3,  87.6, 15105
3, 10.8,  92.3, 14822
4, 12.3,  88.0, 14204
5, 13.9,  86.8, 13953
6, 15.5,  85.5, 14591
7, 17.0,  87.1, 14436
8, 18.5,  85.6, 15259
9, 19.8,  89.5, 14111
10, 21.3,  84.7, 13623
11, 22.9,  91.6, 13966
