Voltage = 5.64
shot, time (s), fps
1, 12.3,  68.8
2, 14.5,  68.8
3, 16.7,  68.8
4, 18.8,  68.2
5, 20.7,  67.3
6, 22.8,  67.9
7, 24.7,  74.6
8, 26.5,  71.8
9, 28.4,  72.7
10, 30.3,  72.0
