shot, time (s), fps
1, 60.3,  65.3
2, 62.3,  65.1
3, 66.1,  71.7
4, 67.9,  65.9
5, 69.5,  66.0
6, 71.1,  65.2
7, 72.7,  73.4
8, 74.4,  66.6
9, 76.0,  72.9
10, 77.4,  67.7

