shot, time (s), fps
1, 68.5,  61.4
2, 74.7,  68.9
3, 76.7,  62.7
4, 78.7,  62.9
5, 80.9,  62.3
6, 82.9,  65.5
7, 84.7,  64.3
8, 88.7,  68.6
9, 90.6,  66.4
10, 92.6,  70.6
