shot, time (s), fps
1, 3.8,  103.6
2, 5.6,  100.9
3, 7.3,  113.1
4, 9.0,  106.6
5, 10.7,  106.8
6, 12.3,  95.6
7, 13.9,  107.2
8, 27.8,  104.9
9, 29.6,  104.7
10, 45.0,  99.9

