shot, time (s), fps
1, 7.4,  64.5
2, 9.1,  69.6
3, 11.0,  63.0
4, 12.9,  64.7
5, 14.7,  73.0
6, 16.5,  59.5
7, 18.6,  69.2
8, 20.3,  67.2
9, 22.0,  73.4
10, 41.1,  71.3
