Voltage = 6.65
shot, time (s), fps
1, 17.7,  76.0
2, 19.2,  80.9
3, 20.8,  81.5
4, 22.3,  85.3
5, 23.9,  81.6
6, 25.5,  77.3
7, 27.1,  78.3
8, 28.6,  80.2
9, 30.2,  82.1
10, 31.9,  82.2
