shot, time (s), fps
1, 7.1,  63.3
2, 16.4,  68.1
3, 18.8,  66.4
4, 21.0,  64.7
5, 23.1,  70.9
6, 25.3,  65.3
7, 27.2,  67.3
8, 29.0,  68.9
9, 31.1,  63.0
10, 39.4,  66.2
