shot, time (s), fps
1, 49.2,  94.8
2, 52.9,  105.3
3, 54.5,  93.3
4, 56.0,  101.6
5, 57.7,  98.4
6, 60.5,  102.5
7, 61.9,  91.6
8, 65.2,  93.7
9, 66.7,  92.1
10, 68.5,  97.6
