Adafruit INA260 Test
Found INA260 chip
shot, time (s), fps, rpm
1, 9.1,  72.9, 10932
2, 10.5,  67.4, 12315
3, 12.0,  68.4, 11885
4, 13.5,  64.8, 9960
5, 14.9,  72.1, 11885
6, 16.2,  77.8, 11971
7, 17.7,  75.3, 13440
8, 19.1,  76.2, 11829
9, 20.4,  76.0, 13286
10, 21.7,  76.0, 12787
11, 23.1,  78.6, 13824
12, 24.8,  0.1, 10504
13, 25.0,  0.1, 9914
14, 25.0,  0.1, 9861

