Voltage = 6.28
shot, time (s), fps
1, 10.5,  74.5
2, 12.5,  71.5
3, 14.5,  70.6
4, 16.4,  70.0
5, 18.2,  74.0
6, 19.9,  70.9
7, 21.5,  74.0
8, 23.3,  73.4
9, 24.9,  75.9
10, 26.6,  75.0
