time (ms),time (s), rpm, mA, V
11619,10.687,0,0,5.92
11630,10.698,0,0,5.92
11641,10.709,0,0,5.92
11653,10.721,0,0,5.92
11664,10.732,0,0,5.93
11675,10.743,0,0,5.92
11686,10.754,0,0,5.93
11697,10.765,0,0,5.93
11708,10.776,0,0,5.93
11719,10.787,0,0,5.93
11730,10.798,0,0,5.93
11741,10.809,0,0,5.93
11752,10.82,0,0,5.93
11763,10.831,0,0,5.93
11774,10.842,0,0,5.93
11786,10.854,0,0,5.93
11797,10.865,0,0,5.93
11808,10.876,0,0,5.93
11819,10.887,0,0,5.93
11830,10.898,0,0,5.93
11841,10.909,0,0,5.93
11852,10.92,0,0,5.93
11863,10.931,0,0,5.93
11874,10.942,0,0,5.93
11885,10.953,0,0,5.93
11896,10.964,0,0,5.93
11907,10.975,0,0,5.93
11919,10.987,0,0,5.94
