407, 0, 0, 6.47,
418, 0, 0, 6.47,
429, 0, 0, 6.47,
440, 0, 0, 6.47,
451, 0, 0, 6.47,
462, 0, 0, 6.47,
473, 0, 0, 6.47,
484, 0, 0, 6.47,
496, 0, 0, 6.47,
507, 0, 0, 6.47,
518, 0, 2901, 4.94,
529, 113, 2855, 4.93,
540, 113, 2780, 4.96,
551, 113, 2718, 4.97,
562, 113, 2630, 5.06,
573, 113, 2599, 5.02,
584, 1225, 2553, 5.05,
595, 1225, 2448, 5.09,
606, 2334, 2404, 5.04,
618, 2334, 2311, 5.16,
629, 2965, 2308, 5.13,
640, 2965, 2250, 5.18,
651, 3423, 2184, 5.20,
662, 3836, 2191, 5.20,
673, 4170, 2134, 5.28,
684, 4486, 2103, 5.27,
695, 4486, 2020, 5.29,
706, 4772, 1994, 5.26,
717, 5043, 1946, 5.30,
729, 5296, 1838, 5.33,
740, 5758, 1841, 5.37,
751, 5978, 1778, 5.36,
762, 6180, 1754, 5.38,
773, 6369, 1694, 5.41,
784, 6547, 1703, 5.41,
795, 6723, 1639, 5.41,
806, 7042, 1649, 5.45,
818, 7187, 1600, 5.45,
829, 7470, 1539, 5.47,
840, 7598, 1531, 5.49,
852, 7739, 1494, 5.48,
863, 7974, 1484, 5.49,
874, 8090, 1406, 5.51,
886, 8310, 1436, 5.52,
897, 8522, 1391, 5.54,
908, 8615, 1363, 5.55,
919, 8813, 1303, 5.55,
930, 8992, 1279, 5.56,
942, 9079, 1264, 5.58,
953, 9247, 1245, 5.58,
964, 9392, 1198, 5.58,
976, 9560, 1198, 5.61,
987, 9640, 1200, 5.62,
998, 9778, 1201, 5.63,
1010, 9900, 1171, 5.63,
1021, 10040, 1156, 5.65,
1032, 10155, 1126, 5.64,
1044, 10259, 1120, 5.66,
1056, 10416, 1098, 5.67,
1067, 10533, 1090, 5.67,
1078, 10630, 1085, 5.68,
1090, 10737, 1055, 5.69,
1102, 10845, 1041, 5.70,
1113, 10940, 1026, 5.71,
1124, 11029, 1014, 5.71,
1135, 11094, 1003, 5.71,
1146, 11269, 981, 5.72,
1157, 11303, 981, 5.73,
1169, 11432, 974, 5.73,
1180, 11511, 951, 5.74,
1191, 11591, 935, 5.75,
1203, 11627, 939, 5.76,
1214, 11783, 920, 5.76,
1225, 11829, 910, 5.76,
1236, 11904, 893, 5.76,
1247, 11990, 899, 5.77,
1258, 12057, 884, 5.77,
1270, 12155, 878, 5.78,
1281, 12214, 873, 5.78,
1292, 12244, 854, 5.79,
1304, 12355, 851, 5.80,
1315, 12468, 848, 5.80,
1326, 12479, 821, 5.79,
1338, 12552, 823, 5.80,
1349, 12605, 806, 5.81,
1360, 12658, 808, 5.82,
1372, 12733, 804, 5.82,
1383, 12787, 790, 5.82,
1394, 12853, 791, 5.83,
1405, 12908, 768, 5.82,
1416, 12953, 765, 5.83,
1427, 13020, 775, 5.84,
1439, 13100, 753, 5.84,
1451, 13123, 745, 5.84,
1462, 13157, 754, 5.85,
1473, 13227, 751, 5.85,
1484, 13227, 724, 5.85,
1495, 13309, 728, 5.86,
1507, 13345, 716, 5.86,
1518, 13392, 719, 5.87,
1529, 13452, 718, 5.87,
1541, 13501, 709, 5.87,
1552, 13501, 708, 5.87,
1563, 13550, 695, 5.87,
1574, 13623, 690, 5.88,
1585, 13661, 686, 5.87,
1596, 13748, 685, 5.90,
1608, 13736, 689, 5.89,
