Adafruit INA260 Test,,,,,,,,,,,,,,,,,,,
Found INA260 chip,,,,,,,,,,,,,,,,,,,
time (ms),time(s), rpm, mA, mA max,,,,,,,,,,,,,,,
1296,0,0,213.75,213.75,,,,,,,,,,,,,,,
1298,0.002,0,2666.25,2666.25,,,,,,,,,,,,,,,
1346,0.05,0,2388.75,2666.25,,16632.37912,441.5796703,,,,,,,,,,,Peak current,2.67 A
1349,0.053,44,2286.25,2666.25,,,,,,,,,,,,,,Idle current,0.44 A
1378,0.082,1944,2271.25,2666.25,,14969.14121,,,,,,,,,,,,Max RPMs,16630
1400,0.104,2652,2193.75,2666.25,,,,,,,,,,,,,,Time to 90%,1.41 s
1419,0.123,3175,2046.25,2666.25,,,,,,,,,,,,,,,
1436,0.14,3604,1935,2666.25,,,,,,,,,,,,,,,
1451,0.155,3973,1868.75,2666.25,,,,,,,,,,,,,,,
1465,0.169,4304,1983.75,2666.25,,,,,,,,,,,,,,,
1478,0.182,4599,1937.5,2666.25,,,,,,,,,,,,,,,
1490,0.194,4878,1838.75,2666.25,,,,,,,,,,,,,,,
1502,0.206,5121,1837.5,2666.25,,,,,,,,,,,,,,,
1513,0.217,5360,1760,2666.25,,,,,,,,,,,,,,,
1524,0.228,5582,1736.25,2666.25,,,,,,,,,,,,,,,
1536,0.24,5789,1765,2666.25,,,,,,,,,,,,,,,
1547,0.251,5983,1648.75,2666.25,,,,,,,,,,,,,,,
1558,0.262,6175,1608.75,2666.25,,,,,,,,,,,,,,,
1569,0.273,6355,1576.25,2666.25,,,,,,,,,,,,,,,
1580,0.284,6518,1608.75,2666.25,,,,,,,,,,,,,,,
1591,0.295,6836,1597.5,2666.25,,,,,,,,,,,,,,,
1602,0.306,6986,1552.5,2666.25,,,,,,,,,,,,,,,
1613,0.317,7149,1487.5,2666.25,,,,,,,,,,,,,,,
1624,0.328,7400,1475,2666.25,,,,,,,,,,,,,,,
1635,0.339,7526,1478.75,2666.25,,,,,,,,,,,,,,,
1646,0.35,7653,1452.5,2666.25,,,,,,,,,,,,,,,
1657,0.361,7890,1401.25,2666.25,,,,,,,,,,,,,,,
1668,0.372,8025,1415,2666.25,,,,,,,,,,,,,,,
1679,0.383,8237,1375,2666.25,,,,,,,,,,,,,,,
1690,0.394,8324,1346.25,2666.25,,,,,,,,,,,,,,,
1701,0.405,8513,1313.75,2666.25,,,,,,,,,,,,,,,
1712,0.416,8670,1338.75,2666.25,,,,,,,,,,,,,,,
1723,0.427,8828,1300,2666.25,,,,,,,,,,,,,,,
1734,0.438,9009,1296.25,2666.25,,,,,,,,,,,,,,,
1745,0.449,9118,1245,2666.25,,,,,,,,,,,,,,,
1756,0.46,9264,1232.5,2666.25,,,,,,,,,,,,,,,
1767,0.471,9410,1242.5,2666.25,,,,,,,,,,,,,,,
1778,0.482,9590,1260,2666.25,,,,,,,,,,,,,,,
1789,0.493,9664,1208.75,2666.25,,,,,,,,,,,,,,,
1800,0.504,9803,1127.5,2666.25,,,,,,,,,,,,,,,
1811,0.515,9960,1168.75,2666.25,,,,,,,,,,,,,,,
1822,0.526,10087,1140,2666.25,,,,,,,,,,,,,,,
1833,0.537,10204,1131.25,2666.25,,,,,,,,,,,,,,,
1844,0.548,10344,1080,2666.25,,,,,,,,,,,,,,,
1855,0.559,10460,1086.25,2666.25,,,,,,,,,,,,,,,
1866,0.57,10482,1086.25,2666.25,,,,,,,,,,,,,,,
1878,0.582,10699,1073.75,2666.25,,,,,,,,,,,,,,,
1889,0.593,10791,1036.25,2666.25,,,,,,,,,,,,,,,
1900,0.604,10869,997.5,2666.25,,,,,,,,,,,,,,,
1911,0.615,11013,1018.75,2666.25,,,,,,,,,,,,,,,
1922,0.626,11053,1000,2666.25,,,,,,,,,,,,,,,
1933,0.637,11185,975,2666.25,,,,,,,,,,,,,,,
1944,0.648,11303,948.75,2666.25,,,,,,,,,,,,,,,
1955,0.659,11389,987.5,2666.25,,,,,,,,,,,,,,,
1966,0.67,11485,975,2666.25,,,,,,,,,,,,,,,
1977,0.681,11556,957.5,2666.25,,,,,,,,,,,,,,,
1988,0.692,11664,963.75,2666.25,,,,,,,,,,,,,,,
1999,0.703,11746,962.5,2666.25,,,,,,,,,,,,,,,
2010,0.714,11838,911.25,2666.25,,,,,,,,,,,,,,,
2021,0.725,11895,952.5,2666.25,,,,,,,,,,,,,,,
2032,0.736,11990,880,2666.25,,,,,,,,,,,,,,,
2043,0.747,12057,932.5,2666.25,,,,,,,,,,,,,,,
2054,0.758,12135,881.25,2666.25,,,,,,,,,,,,,,,
2065,0.769,12224,907.5,2666.25,,,,,,,,,,,,,,,
2076,0.78,12295,891.25,2666.25,,,,,,,,,,,,,,,
2087,0.791,12417,877.5,2666.25,,,,,,,,,,,,,,,
2098,0.802,12458,826.25,2666.25,,,,,,,,,,,,,,,
2109,0.813,12510,826.25,2666.25,,,,,,,,,,,,,,,
2120,0.824,12605,845,2666.25,,,,,,,,,,,,,,,
2131,0.835,12668,852.5,2666.25,,,,,,,,,,,,,,,
2142,0.846,12798,843.75,2666.25,,,,,,,,,,,,,,,
2153,0.857,12787,827.5,2666.25,,,,,,,,,,,,,,,
2164,0.868,12908,806.25,2666.25,,,,,,,,,,,,,,,
2176,0.88,12919,826.25,2666.25,,,,,,,,,,,,,,,
2187,0.891,12998,815,2666.25,,,,,,,,,,,,,,,
2198,0.902,13066,792.5,2666.25,,,,,,,,,,,,,,,
2209,0.913,13134,797.5,2666.25,,,,,,,,,,,,,,,
2220,0.924,13192,786.25,2666.25,,,,,,,,,,,,,,,
2231,0.935,13239,793.75,2666.25,,,,,,,,,,,,,,,
2242,0.946,13368,716.25,2666.25,,,,,,,,,,,,,,,
2253,0.957,13428,728.75,2666.25,,,,,,,,,,,,,,,
2264,0.968,13428,767.5,2666.25,,,,,,,,,,,,,,,
2275,0.979,13477,771.25,2666.25,,,,,,,,,,,,,,,
2286,0.99,13537,748.75,2666.25,,,,,,,,,,,,,,,
2297,1.001,13586,756.25,2666.25,,,,,,,,,,,,,,,
2308,1.012,13661,723.75,2666.25,,,,,,,,,,,,,,,
2319,1.023,13661,723.75,2666.25,,,,,,,,,,,,,,,
2330,1.034,13711,742.5,2666.25,,,,,,,,,,,,,,,
2341,1.045,13837,727.5,2666.25,,,,,,,,,,,,,,,
2352,1.056,13876,713.75,2666.25,,,,,,,,,,,,,,,
2363,1.067,13914,720,2666.25,,,,,,,,,,,,,,,
2374,1.078,13979,695,2666.25,,,,,,,,,,,,,,,
2385,1.089,14031,701.25,2666.25,,,,,,,,,,,,,,,
2396,1.1,14031,680,2666.25,,,,,,,,,,,,,,,
2407,1.111,14058,712.5,2666.25,,,,,,,,,,,,,,,
2418,1.122,14164,678.75,2666.25,,,,,,,,,,,,,,,
2429,1.133,14150,701.25,2666.25,,,,,,,,,,,,,,,
2440,1.144,14177,682.5,2666.25,,,,,,,,,,,,,,,
2451,1.155,14285,645,2666.25,,,,,,,,,,,,,,,
2462,1.166,14272,687.5,2666.25,,,,,,,,,,,,,,,
2473,1.177,14312,670,2666.25,,,,,,,,,,,,,,,
2484,1.188,14326,671.25,2666.25,,,,,,,,,,,,,,,
2495,1.199,14436,612.5,2666.25,,,,,,,,,,,,,,,
2506,1.21,14395,675,2666.25,,,,,,,,,,,,,,,
2518,1.222,14506,648.75,2666.25,,,,,,,,,,,,,,,
2529,1.233,14492,651.25,2666.25,,,,,,,,,,,,,,,
2540,1.244,14577,645,2666.25,,,,,,,,,,,,,,,
2551,1.255,14492,660,2666.25,,,,,,,,,,,,,,,
2562,1.266,14548,635,2666.25,,,,,,,,,,,,,,,
2573,1.277,14691,615,2666.25,,,,,,,,,,,,,,,
2584,1.288,14691,627.5,2666.25,,,,,,,,,,,,,,,
2595,1.299,14763,631.25,2666.25,,,,,,,,,,,,,,,
2606,1.31,14792,620,2666.25,,,,,,,,,,,,,,,
2617,1.321,14763,642.5,2666.25,,,,,,,,,,,,,,,
2628,1.332,14866,620,2666.25,,,,,,,,,,,,,,,
2639,1.343,14880,568.75,2666.25,,,,,,,,,,,,,,,
2650,1.354,14822,623.75,2666.25,,,,,,,,,,,,,,,
2661,1.365,14955,602.5,2666.25,,,,,,,,,,,,,,,
2672,1.376,14925,623.75,2666.25,,,,,,,,,,,,,,,
2683,1.387,14880,616.25,2666.25,,,,,,,,,,,,,,,
2694,1.398,15045,582.5,2666.25,,,,,,,,,,,,,,,
2705,1.409,14955,607.5,2666.25,,,,,,,,,,,,,,,
2716,1.42,15105,558.75,2666.25,,,,,,,,,,,,,,,
2727,1.431,15075,556.25,2666.25,,,,,,,,,,,,,,,
2738,1.442,15105,598.75,2666.25,,,,,,,,,,,,,,,
2749,1.453,15136,595,2666.25,,,,,,,,,,,,,,,
