Adafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, mA max
8672, 16722, 169.40, 2971.25
8689, 16722, 181.05, 2971.25
8707, 16759, 175.05, 2971.25
8724, 16759, 179.70, 2971.25
8741, 16741, 172.30, 2971.25
8759, 16741, 181.05, 2971.25
8776, 16759, 176.30, 2971.25
8794, 16741, 181.10, 2971.25
8811, 16741, 170.00, 2971.25
8828, 16759, 169.40, 2971.25
8846, 16759, 178.15, 2971.25
8863, 16816, 175.05, 2971.25
8881, 16741, 179.40, 2971.25
8898, 16741, 168.80, 2971.25
8915, 16722, 186.65, 2971.25
8933, 16741, 174.30, 2971.25
8950, 16741, 182.85, 2971.25
8968, 16778, 176.95, 2971.25
8985, 16722, 183.60, 2971.25
9004, 16759, 183.15, 2971.25
9021, 16759, 171.40, 2971.25
9038, 16741, 176.35, 2971.25
9056, 16778, 172.90, 2971.25
9073, 16759, 174.90, 2971.25
9091, 16778, 175.35, 2971.25
9108, 16759, 175.90, 2971.25
9125, 16759, 162.15, 2971.25
9143, 16741, 176.45, 2971.25
9160, 16759, 172.25, 2971.25
9178, 16759, 182.00, 2971.25
9195, 16759, 182.70, 2971.25
9212, 16741, 171.25, 2971.25
9230, 16759, 178.85, 2971.25
9247, 16741, 184.25, 2971.25
9265, 16778, 172.65, 2971.25
9282, 16741, 182.25, 2971.25
9299, 16722, 177.95, 2971.25
9317, 16741, 183.20, 2971.25
9334, 16759, 165.55, 2971.25
9352, 16722, 171.75, 2971.25
9370, 16722, 174.25, 2971.25
9388, 16797, 175.05, 2971.25
9405, 16741, 167.60, 2971.25
9422, 16722, 173.70, 2971.25
9440, 16722, 180.50, 2971.25
9457, 16666, 172.40, 2971.25
9475, 16722, 175.25, 2971.25
9492, 16703, 179.25, 2971.25
9509, 16741, 172.35, 2971.25
9527, 16722, 170.00, 2971.25
9544, 16778, 171.95, 2971.25
9562, 16741, 179.50, 2971.25
9579, 16722, 175.70, 2971.25
9596, 16741, 166.95, 2971.25
9614, 16722, 179.45, 2971.25
9631, 16703, 175.30, 2971.25
