shot, time (s), fps, rpm
1,5.4,116.3,18115
2,7,105.6,20000
3,8.5,112.3,19659
4,10.1,106.8,18939
5,11.5,105.1,19893
6,12.8,109.4,18587
7,14.3,110.6,18610
8,15.8,105.8,19035
9,17.4,109.2,17772
10,18.8,108.4,18518
,,,
,,108.95,
,,116.3,
,,105.1,
