shot, time (s), fps, rpm
1,3.7,143,-15703
2,5.5,127,-13272
3,7.1,118.6,19264
4,9.8,122.8,10176
5,11.5,129.8,23364
6,13.2,131.2,-28316
7,15,124.1,12189
8,16.7,130.7,-13682
9,18.3,126.2,17336
10,19.9,126.7,-13990
,,,
,,128.01,
,,143,
,,118.6,
