shot, time (s), fps, rpm
1,24.6,100.9,31971
2,26,102.5,31971
3,27.6,103.6,7816
4,29.4,107.2,-25544
5,30.9,109.6,-24195
6,32.5,112.7,-28069
7,34.2,104.7,-13682
8,35.8,107.2,21157
9,37.6,100.8,-19831
10,39.4,115.3,-18037
,,,
,,106.45,
,,115.3,
,,100.8,
