shot, time (s), fps, rpm
1,4.1,81.9,0
2,5.7,77,0
3,7.5,76.2,0
4,9.2,83.5,0
5,11,83.2,0
6,12.8,81.5,0
7,14.7,85.8,0
8,16.7,76.9,0
9,18.8,82.8,0
10,20.6,84,0
11,22.4,82.5,0
,,,
,,,
,ave,81.39090909,
,max,85.8,
,min,76.2,
