Fresh Duracell AA MOSFET
time (ms), RPM, Current (mA)
7534, 0, 3640.00,
7545, 0, 3632.50,
7556, 0, 3623.75,
7567, 0, 3618.75,
7578, 0, 3612.50,
7589, 0, 3606.25,
7600, 0, 3598.75,
7611, 0, 3593.75,
7622, 0, 3588.75,
7633, 0, 3585.00,
7644, 0, 3580.00,
7655, 0, 3575.00,
7666, 0, 3568.75,
7677, 0, 3561.25,
7688, 0, 3558.75,
7699, 0, 3555.00,
7710, 0, 3553.75,
7721, 0, 3548.75,
7732, 0, 3547.50,
7743, 0, 3543.75,
7754, 0, 3543.75,
7766, 0, 3538.75,
7777, 0, 3537.50,
7788, 0, 3535.00,
7799, 0, 3531.25,
7810, 0, 3526.25,
7821, 0, 3525.00,
7832, 0, 3522.50,
7843, 0, 3518.75,
7854, 0, 3517.50,
7865, 0, 3515.00,
7876, 0, 3511.25,
7887, 0, 3508.75,
7898, 0, 3507.50,
7909, 0, 3507.50,
7920, 0, 3506.25,
7931, 0, 3501.25,
7942, 0, 3502.50,
7953, 0, 3497.50,
7964, 0, 3492.50,
7975, 0, 3495.00,
7986, 0, 3488.75,
7997, 0, 3485.00,
8008, 0, 3481.25,
8019, 0, 3480.00,
8030, 0, 3481.25,
8041, 0, 3481.25,
8052, 0, 3477.50,
8064, 0, 3475.00,
8075, 0, 3472.50,
8086, 0, 3471.25,
8097, 0, 3470.00,
8108, 0, 3466.25,
8119, 0, 3461.25,
8130, 0, 3461.25,
8141, 0, 3458.75,
8152, 0, 3456.25,
8163, 0, 3455.00,
8174, 0, 3452.50,
8185, 0, 3451.25,
8196, 0, 3451.25,
8207, 0, 3450.00,
8218, 0, 3446.25,
8229, 0, 3446.25,
8240, 0, 3442.50,
8251, 0, 3438.75,
8262, 0, 3438.75,
8273, 0, 3437.50,
8284, 0, 3436.25,
8295, 0, 3435.00,
8306, 0, 3430.00,
8317, 0, 3431.25,
8328, 0, 3430.00,
8339, 0, 3428.75,
8350, 0, 3428.75,
8361, 0, 3426.25,
8372, 0, 3426.25,
