shot, time (s), fps, rpm
1,11.9,72.5,13711
2,20.2,74.6,12886
3,23.6,77,19264
4,26.2,81.3,13723
5,28.5,76.3,15368
6,30.7,77.8,14506
7,33.1,74.8,13043
8,35.2,76.9,15290
9,37.3,74.8,13888
10,39.5,75.4,13321
,,,
,ave,76.1,
,hi,81.3,
,low,72.5,
