shot, time (s), fps, rpm
1,3.5,113.3,29761
2,5,112.1,1070
3,6.9,112.1,0
4,8.6,117.2,1398
5,10.4,124.6,27223
6,12.2,119.8,0
7,13.9,121.8,-5536
8,15.7,120.3,10231
9,17.5,119.8,15974
10,19.1,120,-15703
,,,
,ave,118.1,
,hi,124.6,
,low,112.1,
