dafruit INA260 Test
Found INA260 chip
time (ms), rpm, mA, mA max
5842, 21520, 753.75, 4380.00,
5853, 21520, 768.75, 4380.00,
5864, 21428, 533.75, 4380.00,
5875, 21582, 627.50, 4380.00,
5886, 21337, 715.00, 4380.00,
5897, 21520, 751.25, 4380.00,
5908, 21707, 755.00, 4380.00,
5919, 21551, 740.00, 4380.00,
5931, 21582, 745.00, 4380.00,
5942, 21489, 507.50, 4380.00,
5953, 21520, 637.50, 4380.00,
5964, 21520, 651.25, 4380.00,
5975, 21520, 808.75, 4380.00,
5986, 28266, 813.75, 4380.00,
5997, 21582, 681.25, 4380.00,
6008, 21613, 775.00, 4380.00,
6019, 21520, 545.00, 4380.00,
6030, 21520, 655.00, 4380.00,
6041, 21459, 595.00, 4380.00,
6052, 21489, 745.00, 4380.00,
6063, 21520, 735.00, 4380.00,
6074, 21459, 691.25, 4380.00,
6085, 21398, 588.75, 4380.00,
6096, 21459, 656.25, 4380.00,
6107, 21428, 555.00, 4380.00,
6118, 21398, 625.00, 4380.00,
6129, 21489, 636.25, 4380.00,
6140, 21613, 725.00, 4380.00,
6151, 21459, 628.75, 4380.00,
6162, 21459, 713.75, 4380.00,
6173, 21489, 641.25, 4380.00,
6184, 21520, 650.00, 4380.00,
6195, 21489, 585.00, 4380.00,
6206, 21459, 710.00, 4380.00,
6217, 21489, 655.00, 4380.00,
6228, 21459, 745.00, 4380.00,
6239, 21428, 716.25, 4380.00,
6250, 21367, 601.25, 4380.00,
6261, 21306, 540.00, 4380.00,
6272, 21398, 665.00, 4380.00,
6283, 21459, 713.75, 4380.00,
6294, 28266, 720.00, 4380.00,
6305, 21428, 691.25, 4380.00,
6316, 21520, 800.00, 4380.00,
6327, 21520, 691.25, 4380.00,
6338, 21489, 622.50, 4380.00,
6349, 28896, 565.00, 4380.00,
6360, 21489, 838.75, 4380.00,
6371, 21428, 678.75, 4380.00,
6382, 21428, 801.25, 4380.00,
6393, 21428, 748.75, 4380.00,
6404, 21428, 681.25, 4380.00,
6415, 21398, 722.50, 4380.00,
6426, 21520, 741.25, 4380.00,
6437, 21489, 482.50, 4380.00,
6448, 21551, 700.00, 4380.00,
6459, 21551, 577.50, 4380.00,
6470, 21520, 670.00, 4380.00,
6481, 21613, 785.00, 4380.00,
6492, 21459, 700.00, 4380.00,
6503, 21428, 670.00, 4380.00,
6514, 21520, 780.00, 4380.00,
6525, 21489, 667.50, 4380.00,
6536, 21551, 643.75, 4380.00,
6547, 21489, 688.75, 4380.00,
6558, 21367, 660.00, 4380.00,
6569, 21551, 725.00, 4380.00,
6580, 21459, 696.25, 4380.00,
6591, 21428, 742.50, 4380.00,
6602, 21489, 635.00, 4380.00,
6614, 21489, 732.50, 4380.00,
6625, 21551, 753.75, 4380.00,
6636, 21489, 745.00, 4380.00,
6647, 21459, 623.75, 4380.00,
6658, 21520, 685.00, 4380.00,
6669, 21520, 705.00, 4380.00,
6680, 21551, 722.50, 4380.00,
6691, 21459, 763.75, 4380.00,
6702, 21520, 551.25, 4380.00,
6713, 21489, 741.25, 4380.00,
6724, 21489, 688.75, 4380.00,
6735, 21337, 658.75, 4380.00,
6746, 21459, 655.00, 4380.00,
6757, 21551, 673.75, 4380.00,
6768, 21459, 476.25, 4380.00,
6779, 21582, 603.75, 4380.00,
6790, 21459, 706.25, 4380.00,
6801, 1013, 702.50, 4380.00,
6812, 21428, 697.50, 4380.00,
6823, 21551, 656.25, 4380.00,
6835, 21676, 718.75, 4380.00,
6846, 21613, 683.75, 4380.00,
6857, 21582, 693.75, 4380.00,
6868, 21551, 648.75, 4380.00,
6879, 21582, 640.00, 4380.00,
6890, 21551, 662.50, 4380.00,
6901, 21520, 673.75, 4380.00,
6912, 21645, 740.00, 4380.00,
6923, 21520, 755.00, 4380.00,
6934, 21428, 733.75, 4380.00,
6945, 21520, 643.75, 4380.00,
6956, 21551, 483.75, 4380.00,
6968, 21645, 690.00, 4380.00,
6979, 21645, 556.25, 4380.00,
6990, 21645, 708.75, 4380.00,
7001, 21520, 735.00, 4380.00,
7012, 21613, 640.00, 4380.00,
7023, 21613, 737.50, 4380.00,
7034, 21428, 592.50, 4380.00,
7045, 21520, 583.75, 4380.00,
7056, 21428, 713.75, 4380.00,
7067, 28266, 711.25, 4380.00,
7078, 21551, 675.00, 4380.00,
7089, 21613, 721.25, 4380.00,
7100, 21551, 683.75, 4380.00,
7111, 21613, 695.00, 4380.00,
7122, 21613, 578.75, 4380.00,
7133, 21582, 545.00, 4380.00,
7144, 21489, 718.75, 4380.00,
7155, 28266, 756.25, 4380.00,
7166, 21582, 723.75, 4380.00,
7177, 21582, 793.75, 4380.00,
7188, 21613, 787.50, 4380.00,
7199, 21645, 415.00, 4380.00,
7211, 21582, 646.25, 4380.00,
7222, 21645, 617.50, 4380.00,
7233, 21739, 745.00, 4380.00,
7244, 21645, 621.25, 4380.00,
7255, 21707, 788.75, 4380.00,
7266, 21676, 733.75, 4380.00,
7277, 21582, 718.75, 4380.00,
7288, 21520, 712.50, 4380.00,
7299, 21645, 822.50, 4380.00,
7310, 21645, 690.00, 4380.00,
7321, 21613, 677.50, 4380.00,
7332, 21645, 682.50, 4380.00,
7343, 21613, 795.00, 4380.00,
7354, 21613, 722.50, 4380.00,
7365, 21645, 698.75, 4380.00,
7376, 21645, 675.00, 4380.00,
7388, 21613, 677.50, 4380.00,
7399, 21645, 600.00, 4380.00,
7410, 21613, 728.75, 4380.00,
7421, 21613, 625.00, 4380.00,
7432, 21613, 670.00, 4380.00,
7443, 1013, 751.25, 4380.00,
7454, 21613, 648.75, 4380.00,
7465, 21707, 676.25, 4380.00,
7476, 21582, 753.75, 4380.00,
7487, 21707, 702.50, 4380.00,
7498, 21613, 572.50, 4380.00,
7510, 21707, 631.25, 4380.00,
7521, 21551, 497.50, 4380.00,
7532, 21613, 621.25, 4380.00,
7543, 21739, 717.50, 4380.00,
7554, 21613, 653.75, 4380.00,
7565, 21645, 683.75, 4380.00,
7576, 21707, 790.00, 4380.00,
7587, 21613, 590.00, 4380.00,
7598, 28896, 675.00, 4380.00,
7609, 21739, 692.50, 4380.00,
7620, 21613, 607.50, 4380.00,
7631, 21582, 703.75, 4380.00,
7642, 21676, 753.75, 4380.00,
7653, 21520, 791.25, 4380.00,
7664, 21551, 712.50, 4380.00,
7675, 21645, 612.50, 4380.00,
7686, 21676, 522.50, 4380.00,
7697, 21613, 668.75, 4380.00,
7708, 21802, 641.25, 4380.00,
