time (ms), rpm, mA, mA max
shot, time (s), fps, rpm
3817, 23183, 772.50, 6285.00,
3828, 23291, 516.25, 6285.00,
3840, 23183, 665.00, 6285.00,
3851, 23219, 632.50, 6285.00,
3862, 23183, 596.25, 6285.00,
3873, 23183, 730.00, 6285.00,
3884, 23255, 818.75, 6285.00,
3895, 23183, 703.75, 6285.00,
3906, 23076, 328.75, 6285.00,
3917, 23219, 951.25, 6285.00,
3928, 23255, 737.50, 6285.00,
3939, 23183, 732.50, 6285.00,
3950, 23255, 512.50, 6285.00,
3961, 23255, 823.75, 6285.00,
3972, 23255, 768.75, 6285.00,
3983, 23183, 762.50, 6285.00,
3994, 23291, 716.25, 6285.00,
4005, 23255, 667.50, 6285.00,
4016, 23076, 612.50, 6285.00,
4027, 23219, 587.50, 6285.00,
4038, 23291, 723.75, 6285.00,
4049, 23183, 823.75, 6285.00,
4060, 23255, 680.00, 6285.00,
4071, 23255, 663.75, 6285.00,
4082, 23255, 797.50, 6285.00,
4093, 23400, 702.50, 6285.00,
4104, 23255, 792.50, 6285.00,
4115, 23291, 825.00, 6285.00,
4126, 23255, 642.50, 6285.00,
4137, 23219, 488.75, 6285.00,
4148, 23219, 632.50, 6285.00,
4159, 23255, 727.50, 6285.00,
4170, 23148, 706.25, 6285.00,
4182, 23219, 622.50, 6285.00,
4193, 23112, 828.75, 6285.00,
4204, 23364, 905.00, 6285.00,
4215, 23219, 526.25, 6285.00,
4226, 23219, 752.50, 6285.00,
4237, 23219, 830.00, 6285.00,
4248, 23219, 745.00, 6285.00,
4259, 23112, 495.00, 6285.00,
4270, 23219, 875.00, 6285.00,
4281, 23183, 711.25, 6285.00,
4292, 23112, 802.50, 6285.00,
4303, 23219, 578.75, 6285.00,
4314, 23183, 802.50, 6285.00,
4325, 23183, 696.25, 6285.00,
4336, 23219, 366.25, 6285.00,
4347, 23183, 758.75, 6285.00,
4358, 23219, 602.50, 6285.00,
4369, 23183, 665.00, 6285.00,
4380, 23255, 460.00, 6285.00,
4391, 23183, 668.75, 6285.00,
4402, 23112, 637.50, 6285.00,
4413, 23183, 808.75, 6285.00,
4424, 22970, 800.00, 6285.00,
4435, 23183, 722.50, 6285.00,
4446, 23076, 745.00, 6285.00,
4457, 23148, 575.00, 6285.00,
4468, 23183, 746.25, 6285.00,
4480, 23183, 688.75, 6285.00,
4491, 23112, 668.75, 6285.00,
4502, 23148, 567.50, 6285.00,
4513, 23183, 853.75, 6285.00,
4524, 23148, 640.00, 6285.00,
4535, 23112, 627.50, 6285.00,
4546, 23183, 756.25, 6285.00,
4557, 23112, 727.50, 6285.00,
4568, 23148, 632.50, 6285.00,
4579, 23148, 683.75, 6285.00,
4590, 23112, 632.50, 6285.00,
4601, 23112, 516.25, 6285.00,
4612, 23112, 651.25, 6285.00,
4623, 23041, 651.25, 6285.00,
4634, 23076, 650.00, 6285.00,
4645, 23112, 588.75, 6285.00,
4656, 23148, 486.25, 6285.00,
4667, 23112, 688.75, 6285.00,
4678, 23076, 727.50, 6285.00,
4689, 23219, 750.00, 6285.00,
4700, 23112, 521.25, 6285.00,
4711, 23076, 718.75, 6285.00,
4723, 23219, 617.50, 6285.00,
4734, 23076, 710.00, 6285.00,
4745, 23076, 807.50, 6285.00,
4756, 23041, 743.75, 6285.00,
4767, 23112, 598.75, 6285.00,
4779, 23148, 673.75, 6285.00,
4790, 23112, 676.25, 6285.00,
4801, 23076, 548.75, 6285.00,
4812, 23041, 643.75, 6285.00,
4823, 23041, 715.00, 6285.00,
4834, 23112, 671.25, 6285.00,
4845, 23076, 588.75, 6285.00,
4856, 23041, 857.50, 6285.00,
4867, 23076, 612.50, 6285.00,
4878, 23112, 660.00, 6285.00,
4889, 23076, 777.50, 6285.00,
4900, 23006, 810.00, 6285.00,
4911, 23076, 731.25, 6285.00,
4922, 23148, 600.00, 6285.00,
4933, 23076, 767.50, 6285.00,
4944, 23183, 531.25, 6285.00,
4955, 23006, 820.00, 6285.00,
4966, 23112, 693.75, 6285.00,
4977, 22970, 630.00, 6285.00,
4988, 23112, 680.00, 6285.00,
4999, 23112, 730.00, 6285.00,
5010, 23076, 716.25, 6285.00,
5021, 23112, 616.25, 6285.00,
5032, 23076, 772.50, 6285.00,
5043, 23076, 791.25, 6285.00,
5054, 23041, 693.75, 6285.00,
5065, 23112, 532.50, 6285.00,
5076, 23148, 666.25, 6285.00,
5087, 23112, 595.00, 6285.00,
5098, 23112, 788.75, 6285.00,
5109, 23076, 743.75, 6285.00,
5120, 23112, 618.75, 6285.00,
5131, 23183, 328.75, 6285.00,
5142, 23112, 781.25, 6285.00,
5153, 23076, 518.75, 6285.00,
5164, 23006, 813.75, 6285.00,
5175, 23076, 737.50, 6285.00,
5186, 23006, 781.25, 6285.00,
5197, 23183, 725.00, 6285.00,
5208, 23041, 503.75, 6285.00,
5219, 23076, 647.50, 6285.00,
5230, 23148, 476.25, 6285.00,
5241, 23041, 705.00, 6285.00,
5252, 22900, 778.75, 6285.00,
5263, 23148, 721.25, 6285.00,
5274, 23041, 431.25, 6285.00,
5285, 23076, 746.25, 6285.00,
5296, 23112, 528.75, 6285.00,
5307, 23076, 735.00, 6285.00,
5318, 23076, 612.50, 6285.00,
5329, 23041, 736.25, 6285.00,
5340, 23112, 503.75, 6285.00,
5351, 22970, 687.50, 6285.00,
5362, 23148, 777.50, 6285.00,
5373, 22970, 696.25, 6285.00,
5384, 23041, 816.25, 6285.00,
5395, 23041, 642.50, 6285.00,
5406, 23076, 586.25, 6285.00,
5417, 23112, 656.25, 6285.00,
5428, 23041, 681.25, 6285.00,
5439, 23076, 738.75, 6285.00,
5450, 23076, 752.50, 6285.00,
5462, 23041, 635.00, 6285.00,
5473, 23076, 668.75, 6285.00,
5484, 23041, 751.25, 6285.00,
5495, 23041, 815.00, 6285.00,
5506, 23148, 570.00, 6285.00,
5517, 23006, 642.50, 6285.00,
5528, 23076, 788.75, 6285.00,
5539, 23112, 655.00, 6285.00,
5550, 23076, 608.75, 6285.00,
5561, 23006, 780.00, 6285.00,
5572, 22970, 616.25, 6285.00,
5583, 22970, 811.25, 6285.00,
5594, 22970, 753.75, 6285.00,
5605, 22761, 721.25, 6285.00,
5616, 23076, 740.00, 6285.00,
5627, 22935, 638.75, 6285.00,
5638, 23006, 701.25, 6285.00,
5649, 23006, 493.75, 6285.00,
5660, 22935, 712.50, 6285.00,
5671, 23006, 730.00, 6285.00,
5682, 22970, 737.50, 6285.00,
5693, 22900, 728.75, 6285.00,
5704, 22970, 672.50, 6285.00,
5715, 22970, 595.00, 6285.00,
5726, 23006, 652.50, 6285.00,
5737, 23006, 625.00, 6285.00,
5748, 22970, 553.75, 6285.00,
5760, 22970, 660.00, 6285.00,
5771, 22970, 702.50, 6285.00,
5782, 22970, 650.00, 6285.00,
5793, 22970, 698.75, 6285.00,
5804, 22970, 601.25, 6285.00,
5815, 22900, 648.75, 6285.00,
5826, 23006, 662.50, 6285.00,
5837, 22900, 723.75, 6285.00,
5848, 23041, 775.00, 6285.00,
5859, 22970, 696.25, 6285.00,
5870, 22865, 838.75, 6285.00,
5881, 22970, 745.00, 6285.00,
5892, 23006, 667.50, 6285.00,
5903, 23041, 778.75, 6285.00,
5914, 23006, 742.50, 6285.00,
5925, 23006, 632.50, 6285.00,
5936, 22970, 783.75, 6285.00,
5947, 22970, 751.25, 6285.00,
5958, 22970, 507.50, 6285.00,
5969, 23006, 603.75, 6285.00,
5980, 22970, 741.25, 6285.00,
5991, 23041, 652.50, 6285.00,
6002, 22970, 782.50, 6285.00,
6013, 22970, 727.50, 6285.00,
6024, 23006, 720.00, 6285.00,
6035, 23041, 552.50, 6285.00,
6046, 23006, 555.00, 6285.00,
6057, 22970, 582.50, 6285.00,
6068, 23006, 756.25, 6285.00,
6079, 23041, 646.25, 6285.00,
6090, 23006, 666.25, 6285.00,
6102, 22970, 573.75, 6285.00,
6113, 23041, 638.75, 6285.00,
6124, 22970, 662.50, 6285.00,
6135, 22970, 595.00, 6285.00,
6146, 22970, 756.25, 6285.00,
6157, 23006, 586.25, 6285.00,
6168, 22970, 728.75, 6285.00,
6179, 22970, 743.75, 6285.00,
6190, 22970, 706.25, 6285.00,
6201, 23006, 500.00, 6285.00,
6212, 22865, 667.50, 6285.00,
6223, 22865, 532.50, 6285.00,
6234, 23041, 625.00, 6285.00,
6245, 23006, 722.50, 6285.00,
6256, 23041, 712.50, 6285.00,
6267, 22900, 662.50, 6285.00,
6278, 22970, 623.75, 6285.00,
6289, 22865, 713.75, 6285.00,
6300, 23006, 742.50, 6285.00,
6311, 23041, 781.25, 6285.00,
6322, 23148, 768.75, 6285.00,
6333, 22970, 585.00, 6285.00,
6344, 23041, 647.50, 6285.00,
6355, 23006, 498.75, 6285.00,
6366, 23076, 605.00, 6285.00,
6377, 22935, 648.75, 6285.00,
6388, 22970, 540.00, 6285.00,
6400, 23006, 840.00, 6285.00,
6411, 23041, 628.75, 6285.00,
6422, 23041, 598.75, 6285.00,
6433, 23041, 687.50, 6285.00,
6444, 23041, 631.25, 6285.00,
6455, 22900, 555.00, 6285.00,
6466, 23112, 713.75, 6285.00,
6477, 23006, 758.75, 6285.00,
6488, 23076, 616.25, 6285.00,
6499, 23041, 896.25, 6285.00,
6510, 23041, 472.50, 6285.00,
6521, 23041, 707.50, 6285.00,
6532, 23183, 672.50, 6285.00,
6543, 23041, 601.25, 6285.00,
6554, 23041, 642.50, 6285.00,
6565, 23076, 931.25, 6285.00,
6576, 23076, 630.00, 6285.00,
6587, 23076, 642.50, 6285.00,
6598, 23041, 741.25, 6285.00,
6609, 23112, 733.75, 6285.00,
6620, 23076, 652.50, 6285.00,
6631, 23006, 607.50, 6285.00,
6642, 23076, 520.00, 6285.00,
6653, 22900, 853.75, 6285.00,
6664, 22970, 597.50, 6285.00,
6675, 23076, 682.50, 6285.00,
6686, 22935, 698.75, 6285.00,
6697, 23006, 695.00, 6285.00,
6708, 22970, 672.50, 6285.00,
6719, 23112, 701.25, 6285.00,
6730, 23112, 580.00, 6285.00,
6742, 23112, 678.75, 6285.00,
6753, 23041, 590.00, 6285.00,
6764, 23148, 748.75, 6285.00,
6775, 22935, 88.75, 6285.00,
6786, 23006, 0.00, 6285.00,
6797, 22831, 0.00, 6285.00,
6808, 22796, 0.00, 6285.00,
6819, 22692, 0.00, 6285.00,
6830, 22590, 0.00, 6285.00,
6841, 22556, 0.00, 6285.00,
6852, 22321, 0.00, 6285.00,
6863, 22288, 0.00, 6285.00,
6874, 22156, 0.00, 6285.00,
6885, 22091, 0.00, 6285.00,
6896, 21961, 0.00, 6285.00,
6907, 21865, 0.00, 6285.00,
6918, 21770, 0.00, 6285.00,
6929, 21676, 0.00, 6285.00,
6940, 21582, 0.00, 6285.00,
6951, 21520, 0.00, 6285.00,
6962, 21398, 0.00, 6285.00,
6973, 21337, 0.00, 6285.00,
6984, 21186, 0.00, 6285.00,
6995, 21156, 0.00, 6285.00,
7006, 21067, 0.00, 6285.00,
7017, 20920, 0.00, 6285.00,
7028, 20833, 0.00, 6285.00,
7040, 20746, 0.00, 6285.00,
7051, 20661, 0.00, 6285.00,
7062, 20547, 0.00, 6285.00,
7073, 20519, 0.00, 6285.00,
7084, 20463, 0.00, 6285.00,
7095, 20325, 0.00, 6285.00,
7106, 20215, 0.00, 6285.00,
7117, 20134, 0.00, 6285.00,
7128, 20026, 0.00, 6285.00,
7139, 19920, 0.00, 6285.00,
7150, 19867, 0.00, 6285.00,
7161, 19762, 0.00, 6285.00,
7172, 19607, 0.00, 6285.00,
7183, 19607, 0.00, 6285.00,
7194, 19531, 0.00, 6285.00,
7205, 19455, 0.00, 6285.00,
7216, 19329, 0.00, 6285.00,
7227, 19280, 0.00, 6285.00,
7238, 19181, 0.00, 6285.00,
7249, 19108, 0.00, 6285.00,
7260, 19011, 0.00, 6285.00,
7271, 18891, 0.00, 6285.00,
7282, 18867, 0.00, 6285.00,
