Found INA260 chip,,,
time (ms),time (s), mA, mA max
1293,0.937,651.25,4006.25
1298,0.942,600,4006.25
1302,0.946,585,4006.25
1307,0.951,548.75,4006.25
1311,0.955,585,4006.25
1316,0.96,587.5,4006.25
1320,0.964,613.75,4006.25
1325,0.969,611.25,4006.25
1330,0.974,610,4006.25
1334,0.978,651.25,4006.25
1339,0.983,611.25,4006.25
1343,0.987,593.75,4006.25
1348,0.992,618.75,4006.25
1352,0.996,610,4006.25
1357,1.001,666.25,4006.25
1361,1.005,661.25,4006.25
1367,1.011,647.5,4006.25
1371,1.015,637.5,4006.25
1376,1.02,647.5,4006.25
1380,1.024,577.5,4006.25
1385,1.029,585,4006.25
1389,1.033,570,4006.25
1394,1.038,577.5,4006.25
1398,1.042,612.5,4006.25
1403,1.047,531.25,4006.25
1408,1.052,508.75,4006.25
1413,1.057,463.75,4006.25
1417,1.061,571.25,4006.25
1422,1.066,492.5,4006.25
1426,1.07,510,4006.25
1431,1.075,488.75,4006.25
1435,1.079,535,4006.25
1440,1.084,465,4006.25
1444,1.088,456.25,4006.25
1449,1.093,522.5,4006.25
1454,1.098,593.75,4006.25
1458,1.102,456.25,4006.25
1463,1.107,472.5,4006.25
1467,1.111,553.75,4006.25
1472,1.116,543.75,4006.25
1476,1.12,547.5,4006.25
1481,1.125,466.25,4006.25
1485,1.129,501.25,4006.25
1490,1.134,460,4006.25
1495,1.139,462.5,4006.25
1500,1.144,507.5,4006.25
1504,1.148,528.75,4006.25
1509,1.153,467.5,4006.25
1513,1.157,405,4006.25
1518,1.162,430,4006.25
1522,1.166,492.5,4006.25
1527,1.171,525,4006.25
1531,1.175,547.5,4006.25
1537,1.181,431.25,4006.25
1541,1.185,433.75,4006.25
1546,1.19,442.5,4006.25
1550,1.194,497.5,4006.25
1555,1.199,510,4006.25
1559,1.203,522.5,4006.25
1564,1.208,478.75,4006.25
1568,1.212,453.75,4006.25
1573,1.217,460,4006.25
1577,1.221,486.25,4006.25
1583,1.227,447.5,4006.25
1587,1.231,463.75,4006.25
1591,1.235,462.5,4006.25
1596,1.24,412.5,4006.25
1600,1.244,422.5,4006.25
1605,1.249,558.75,4006.25
1609,1.253,547.5,4006.25
1614,1.258,450,4006.25
1618,1.262,505,4006.25
1624,1.268,530,4006.25
1628,1.272,562.5,4006.25
1633,1.277,427.5,4006.25
1637,1.281,413.75,4006.25
1642,1.286,447.5,4006.25
1646,1.29,430,4006.25
1651,1.295,455,4006.25
1655,1.299,382.5,4006.25
1660,1.304,437.5,4006.25
1665,1.309,480,4006.25
1670,1.314,508.75,4006.25
1674,1.318,527.5,4006.25
1679,1.323,590,4006.25
1683,1.327,541.25,4006.25
1688,1.332,453.75,4006.25
1692,1.336,556.25,4006.25
1697,1.341,537.5,4006.25
1701,1.345,527.5,4006.25
1707,1.351,432.5,4006.25
1711,1.355,378.75,4006.25
1715,1.359,416.25,4006.25
1720,1.364,472.5,4006.25
1724,1.368,491.25,4006.25
1729,1.373,426.25,4006.25
1733,1.377,357.5,4006.25
1738,1.382,373.75,4006.25
1742,1.386,361.25,4006.25
1747,1.391,482.5,4006.25
1752,1.396,493.75,4006.25
1757,1.401,480,4006.25
1761,1.405,443.75,4006.25
1766,1.41,447.5,4006.25
1770,1.414,438.75,4006.25
1775,1.419,408.75,4006.25
1779,1.423,425,4006.25
1784,1.428,448.75,4006.25
1788,1.432,432.5,4006.25
1794,1.438,450,4006.25
1798,1.442,411.25,4006.25
1803,1.447,388.75,4006.25
1807,1.451,458.75,4006.25
1812,1.456,506.25,4006.25
1816,1.46,521.25,4006.25
