Found INA260 chip,,,
time (ms),time (s), mA, mA max
4500,4.144,0,4006.25
4504,4.148,0,4006.25
4508,4.152,0,4006.25
4512,4.156,0,4006.25
4516,4.16,0,4006.25
4521,4.165,0,4006.25
4526,4.17,0,4006.25
4530,4.174,0,4006.25
4534,4.178,0,4006.25
4538,4.182,0,4006.25
4542,4.186,0,4006.25
4546,4.19,0,4006.25
4551,4.195,0,4006.25
4555,4.199,0,4006.25
4559,4.203,0,4006.25
4563,4.207,0,4006.25
4568,4.212,0,4006.25
4572,4.216,0,4006.25
4577,4.221,0,4006.25
4581,4.225,0,4006.25
4585,4.229,0,4006.25
4589,4.233,0,4006.25
4593,4.237,0,4006.25
4597,4.241,0,4006.25
4601,4.245,0,4006.25
4606,4.25,0,4006.25
4611,4.255,0,4006.25
4615,4.259,0,4006.25
4619,4.263,0,4006.25
4623,4.267,0,4006.25
4627,4.271,0,4006.25
4631,4.275,0,4006.25
4636,4.28,0,4006.25
4640,4.284,0,4006.25
4644,4.288,0,4006.25
4648,4.292,0,4006.25
4653,4.297,0,4006.25
4657,4.301,0,4006.25
4662,4.306,0,4006.25
4666,4.31,0,4006.25
4670,4.314,0,4006.25
4674,4.318,0,4006.25
4678,4.322,0,4006.25
4682,4.326,0,4006.25
4686,4.33,0,4006.25
4691,4.335,0,4006.25
4696,4.34,0,4006.25
4700,4.344,0,4006.25
4704,4.348,0,4006.25
4708,4.352,0,4006.25
4712,4.356,0,4006.25
4717,4.361,0,4006.25
4721,4.365,0,4006.25
4725,4.369,0,4006.25
4729,4.373,0,4006.25
4733,4.377,0,4006.25
4738,4.382,0,4006.25
4742,4.386,0,4006.25
4747,4.391,0,4006.25
4751,4.395,0,4006.25
4755,4.399,0,4006.25
4759,4.403,0,4006.25
4763,4.407,0,4006.25
4767,4.411,0,4006.25
4771,4.415,0,4006.25
4776,4.42,0,4006.25
4781,4.425,0,4006.25
4785,4.429,0,4006.25
4789,4.433,0,4006.25
4793,4.437,0,4006.25
4797,4.441,0,4006.25
4802,4.446,0,4006.25
4806,4.45,0,4006.25
4810,4.454,0,4006.25
4814,4.458,0,4006.25
4818,4.462,0,4006.25
4823,4.467,0,4006.25
4827,4.471,0,4006.25
4832,4.476,0,4006.25
4836,4.48,0,4006.25
4840,4.484,0,4006.25
4844,4.488,0,4006.25
4848,4.492,0,4006.25
4852,4.496,0,4006.25
4856,4.5,0,4006.25
4861,4.505,0,4006.25
4866,4.51,0,4006.25
4870,4.514,0,4006.25
4874,4.518,0,4006.25
4878,4.522,0,4006.25
4882,4.526,0,4006.25
4887,4.531,0,4006.25
4891,4.535,0,4006.25
4895,4.539,0,4006.25
4899,4.543,0,4006.25
4903,4.547,0,4006.25
4908,4.552,0,4006.25
4912,4.556,0,4006.25
4917,4.561,0,4006.25
4921,4.565,0,4006.25
4925,4.569,0,4006.25
4929,4.573,0,4006.25
4933,4.577,0,4006.25
4937,4.581,0,4006.25
4941,4.585,0,4006.25
4946,4.59,0,4006.25
4951,4.595,0,4006.25
4955,4.599,0,4006.25
4959,4.603,0,4006.25
4963,4.607,0,4006.25
4967,4.611,0,4006.25
4972,4.616,0,4006.25
4976,4.62,0,4006.25
4980,4.624,0,4006.25
4984,4.628,0,4006.25
4988,4.632,0,4006.25
4993,4.637,0,4006.25
4997,4.641,0,4006.25
5002,4.646,0,4006.25
5006,4.65,0,4006.25
5010,4.654,0,4006.25
5014,4.658,0,4006.25
5018,4.662,0,4006.25
5022,4.666,0,4006.25
5026,4.67,0,4006.25
5031,4.675,0,4006.25
5036,4.68,0,4006.25
5040,4.684,0,4006.25
5044,4.688,0,4006.25
5048,4.692,0,4006.25
5052,4.696,0,4006.25
5057,4.701,0,4006.25
5061,4.705,0,4006.25
5065,4.709,0,4006.25
5069,4.713,1.25,4006.25
5073,4.717,0,4006.25
5078,4.722,0,4006.25
5082,4.726,0,4006.25
5087,4.731,0,4006.25
5091,4.735,0,4006.25
5095,4.739,0,4006.25
5099,4.743,0,4006.25
5103,4.747,0,4006.25
5107,4.751,0,4006.25
5111,4.755,0,4006.25
5116,4.76,0,4006.25
5121,4.765,0,4006.25
5125,4.769,0,4006.25
5129,0,0,4006.25
5133,0,0,4006.25
