shot, time (s), fps, rpm
1,14.6,104.3,20297
2,16.4,105.1,19083
3,18.5,105.3,19685
4,20.7,105.8,19659
5,22.8,113.3,20920
6,24.9,106.4,19556
7,26.9,107.6,20107
8,29,109.2,19710
9,30.8,115.8,20107
10,32.7,107.6,19736
,,,
,ave,108.0,
,hi,115.8,
,low,104.3,
