time (ms),time(s), rpm, mA, mA max,,,,
11056,7.717,6331,0,3455,,,,
11067,7.728,6297,0,3455,,,,
11078,7.739,6286,0,3455,,,,
11089,7.75,6216,0,3455,,,,
11100,7.761,6224,0,3455,,,,
11111,7.772,6137,0,3455,,,,
11122,7.783,6132,1.25,3455,,,,
11133,7.794,6090,0,3455,,,,
11144,7.805,6060,0,3455,,,,
11155,7.816,6031,0,3455,,,,
11166,7.827,6000,0,3455,,,,
11177,7.838,5971,0,3455,,,,
11188,7.849,5950,0,3455,,,,
11199,7.86,5921,0,3455,,,,
11210,7.871,5859,0,3455,,,,
11222,7.883,5852,0,3455,,,,
11233,7.894,5791,0,3455,,,,
11244,7.905,5755,0,3455,,,,
11255,7.916,5729,0,3455,,,,
11266,7.927,5696,0,3455,,,,
11277,7.938,5666,0,3455,,,,
11288,7.949,5632,0,3455,,,,
11299,7.96,5605,0,3455,,,,
11310,7.971,5574,0,3455,,,,
11321,7.982,5541,0,3455,,,,
11332,7.993,5510,0,3455,,,,
11343,8.004,5480,0,3455,,,,
11354,8.015,5444,0,3455,,,,
11365,8.026,5415,0,3455,,,,
11376,8.037,5384,0,3455,,,,
11387,8.048,5351,0,3455,,,,
11398,8.059,5319,0,3455,,,,
11409,8.07,5287,0,3455,,,,
11420,8.081,5253,0,3455,,,,
11431,8.092,5222,0,3455,,,,
11442,8.103,5190,0,3455,,,,
11453,8.114,5156,0,3455,,,,
11464,8.125,5122,0,3455,,,,
11475,8.136,5091,0,3455,,,,
11487,8.148,5059,0,3455,,,,
11499,8.16,5023,0,3455,,,,
11511,8.172,4991,0,3455,,,,
11523,8.184,4957,0,3455,,,,
11535,8.196,4957,0,3455,,,,
11548,8.209,4890,0,3455,,,,
11560,8.221,4855,0,3455,,,,
11573,8.234,4821,0,3455,,,,
11585,8.246,4786,0,3455,,,,
11598,8.259,4751,0,3455,,,,
11611,8.272,4719,0,3455,,,,
11624,8.285,4683,0,3455,,,,
11636,8.297,4646,0,3455,,,,
11650,8.311,4612,0,3455,,,,
11663,8.324,4575,0,3455,,,,
11675,8.336,4544,0,3455,,,,
11688,8.349,4504,0,3455,,,,
11699,8.36,4504,0,3455,,,,
11710,8.371,4472,0,3455,,,,
11721,8.382,4431,0,3455,,,,
11732,8.393,4397,0,3455,,,,
11743,8.404,4359,0,3455,,,,
11757,8.418,4324,0,3455,,,,
11771,8.432,4286,0,3455,,,,
11786,8.447,4249,0,3455,,,,
11799,8.46,4211,0,3455,,,,
11814,8.475,4174,0,3455,,,,
11828,8.489,4135,0,3455,,,,
11843,8.504,4098,0,3455,,,,
11857,8.518,4059,0,3455,,,,
11873,8.534,4021,0,3455,,,,
11887,8.548,3980,0,3455,,,,
11902,8.563,3943,0,3455,,,,
11913,8.574,3943,0,3455,,,,
11924,8.585,3905,0,3455,,,,
11935,8.596,3861,0,3455,,,,
11950,8.611,3823,0,3455,,,,
11965,8.626,3783,0,3455,,,,
11981,8.642,3783,0,3455,,,,
11998,8.659,3701,0,3455,,,,
12014,8.675,3659,0,3455,,,,
12030,8.691,3619,0,3455,,,,
12048,8.709,3575,0,3455,,,,
12064,8.725,3533,0,3455,,,,
12082,8.743,3492,0,3455,,,,
12099,8.76,3492,0,3455,,,,
12116,8.777,3405,0,3455,,,,
12134,8.795,3360,0,3455,,,,
12152,8.813,3315,0,3455,,,,
12171,8.832,3275,0,3455,,,,
12189,8.85,3223,0,3455,,,,
12209,8.87,3179,0,3455,,,,
12228,8.889,3134,0,3455,,,,
12247,8.908,3090,0,3455,,,,
12267,8.928,3037,0,3455,,,,
12286,8.947,3037,0,3455,,,,
12307,8.968,2992,0,3455,,,,
12327,8.988,2894,0,3455,,,,
12349,9.01,2845,0,3455,,,,
12370,9.031,2794,0,3455,,,,
12392,9.053,2743,0,3455,,,,
12414,9.075,2691,0,3455,,,,
12437,9.098,2691,0,3455,,,,
12461,9.122,2585,0,3455,,,,
12484,9.145,2529,0,3455,,,,
12509,9.17,2474,0,3455,,,,
12533,9.194,2418,0,3455,,,,
12559,9.22,2360,0,3455,,,,
12584,9.245,2302,0,3455,,,,
12611,9.272,2243,0,3455,,,,
12639,9.3,2179,0,3455,,,,
12667,9.328,2117,0,3455,,,,
12697,9.358,2052,0,3455,,,,
12727,9.388,1986,0,3455,,,,
12758,9.419,1918,0,3455,,,,
12790,9.451,1918,0,3455,,,,
12824,9.485,1774,0,3455,,,,
12859,9.52,1774,0,3455,,,,
12897,9.558,1618,0,3455,,,,
12936,9.597,1536,0,3455,,,,
12978,9.639,1450,0,3455,,,,
13021,9.682,1450,0,3455,,,,
13069,9.73,1259,0,3455,,,,
13121,9.782,1153,0,3455,,,,
13179,9.84,1037,0,3455,,,,
13245,9.906,906,0,3455,,,,
13325,9.986,752,0,3455,,,,
13433,10.094,553,0,3455,,,,
