time (ms),time(s), rpm, mA, mA max,,,,
5060,1.721,16722,511.25,3455,,,,
5071,1.732,16574,478.75,3455,,,,
5082,1.743,16611,460,3455,,,,
5093,1.754,16538,495,3455,,,,
5104,1.765,16519,420,3455,,,,
5115,1.776,16629,465,3455,,,,
5126,1.787,16611,477.5,3455,,,,
5137,1.798,16629,497.5,3455,,,,
5148,1.809,16629,478.75,3455,,,,
5159,1.82,16629,443.75,3455,,,,
5170,1.831,16648,455,3455,,,,
5181,1.842,16685,530,3455,,,,
5192,1.853,16666,468.75,3455,,,,
5203,1.864,16666,436.25,3455,,,,
5214,1.875,16611,465,3455,,,,
5225,1.886,16685,451.25,3455,,,,
5236,1.897,16685,451.25,3455,,,,
5248,1.909,16685,431.25,3455,,,,
5259,1.92,16685,458.75,3455,,,,
5270,1.931,16722,505,3455,,,,
5281,1.942,16722,421.25,3455,,,,
5292,1.953,16759,473.75,3455,,,,
5303,1.964,16722,512.5,3455,,,,
5314,1.975,16722,472.5,3455,,,,
5325,1.986,16741,448.75,3455,,,,
5336,1.997,16722,466.25,3455,,,,
5347,2.008,16741,461.25,3455,,,,
5358,2.019,16759,416.25,3455,,,,
5369,2.03,16778,488.75,3455,,,,
5380,2.041,16835,448.75,3455,,,,
5391,2.052,16741,453.75,3455,,,,
5402,2.063,16759,458.75,3455,,,,
5413,2.074,16741,408.75,3455,,,,
5424,2.085,16759,426.25,3455,,,,
5435,2.096,16797,513.75,3455,,,,
5446,2.107,16778,478.75,3455,,,,
5457,2.118,16797,445,3455,,,,
5468,2.129,16759,473.75,3455,,,,
5479,2.14,16797,506.25,3455,,,,
5490,2.151,16797,415,3455,,,,
5501,2.162,16816,426.25,3455,,,,
5512,2.173,16816,435,3455,,,,
5523,2.184,16797,420,3455,,,,
5534,2.195,16816,445,3455,,,,
5545,2.206,16741,422.5,3455,,,,
5556,2.217,16816,386.25,3455,,,,
5567,2.228,16816,438.75,3455,,,,
5578,2.239,16853,472.5,3455,,,,
5590,2.251,16835,438.75,3455,,,,
5601,2.262,16778,466.25,3455,,,,
5612,2.273,16741,473.75,3455,,,,
5623,2.284,16835,407.5,3455,,,,
5634,2.295,16816,442.5,3455,,,,
5645,2.306,16816,456.25,3455,,,,
5656,2.317,16835,482.5,3455,,,,
5667,2.328,16835,427.5,3455,,,,
5678,2.339,16853,480,3455,,,,
5689,2.35,16778,460,3455,,,,
5700,2.361,16853,501.25,3455,,,,
5711,2.372,16872,443.75,3455,,,,
5733,2.394,16835,470,3455,,,,
5744,2.405,16872,441.25,3455,,,,
5755,2.416,16949,411.25,3455,,,,
5766,2.427,16872,445,3455,,,,
5777,2.438,16872,487.5,3455,,,,
5791,2.452,16891,475,3455,,,,
5803,2.464,16891,458.75,3455,,,,
5814,2.475,16872,461.25,3455,,,,
5825,2.486,16891,502.5,3455,,,,
5836,2.497,16891,467.5,3455,,,,
5847,2.508,16872,462.5,3455,,,,
5858,2.519,16891,462.5,3455,,,,
5869,2.53,16816,457.5,3455,,,,
5880,2.541,16872,447.5,3455,,,,
5891,2.552,16891,452.5,3455,,,,
5902,2.563,16891,488.75,3455,,,,
5924,2.585,16891,513.75,3455,,,,
5935,2.596,16987,470,3455,,,,
5946,2.607,16872,402.5,3455,,,,
5957,2.618,16891,491.25,3455,,,,
5968,2.629,16778,436.25,3455,,,,
5979,2.64,16910,440,3455,,,,
5990,2.651,16835,447.5,3455,,,,
6001,2.662,16891,395,3455,,,,
6012,2.673,16853,455,3455,,,,
6023,2.684,16910,496.25,3455,,,,
6034,2.695,16872,468.75,3455,,,,
6045,2.706,16910,433.75,3455,,,,
6056,2.717,16891,466.25,3455,,,,
6067,2.728,16853,426.25,3455,,,,
6078,2.739,16891,390,3455,,,,
6089,2.75,16835,455,3455,,,,
6100,2.761,16910,468.75,3455,,,,
6111,2.772,16816,490,3455,,,,
6122,2.783,16910,467.5,3455,,,,
6133,2.794,16910,436.25,3455,,,,
6144,2.805,16910,472.5,3455,,,,
6158,2.819,16949,420,3455,,,,
6169,2.83,16987,486.25,3455,,,,
6180,2.841,16930,468.75,3455,,,,
6191,2.852,16930,415,3455,,,,
6202,2.863,16891,432.5,3455,,,,
6213,2.874,16910,388.75,3455,,,,
6224,2.885,16853,451.25,3455,,,,
6235,2.896,16930,437.5,3455,,,,
6246,2.907,16910,400,3455,,,,
6257,2.918,16872,475,3455,,,,
6268,2.929,16930,473.75,3455,,,,
6279,2.94,16930,482.5,3455,,,,
6290,2.951,16910,443.75,3455,,,,
6301,2.962,16910,461.25,3455,,,,
6312,2.973,16891,447.5,3455,,,,
6323,2.984,16910,432.5,3455,,,,
6334,2.995,16872,431.25,3455,,,,
6345,3.006,16930,468.75,3455,,,,
6356,3.017,16949,501.25,3455,,,,
6367,3.028,16949,482.5,3455,,,,
6378,3.039,16910,405,3455,,,,
6389,3.05,16910,468.75,3455,,,,
6400,3.061,16930,466.25,3455,,,,
6411,3.072,16949,517.5,3455,,,,
6422,3.083,16891,472.5,3455,,,,
6433,3.094,16968,473.75,3455,,,,
6444,3.105,16930,450,3455,,,,
6455,3.116,16891,487.5,3455,,,,
6466,3.127,16968,433.75,3455,,,,
6477,3.138,16930,486.25,3455,,,,
6488,3.149,16949,495,3455,,,,
6499,3.16,16930,473.75,3455,,,,
6510,3.171,16891,457.5,3455,,,,
6521,3.182,16949,408.75,3455,,,,
6532,3.193,16872,440,3455,,,,
6543,3.204,16891,458.75,3455,,,,
6554,3.215,16949,405,3455,,,,
6565,3.226,16930,441.25,3455,,,,
6576,3.237,16949,418.75,3455,,,,
6587,3.248,16930,451.25,3455,,,,
6598,3.259,16949,406.25,3455,,,,
6609,3.27,16949,406.25,3455,,,,
6620,3.281,16930,403.75,3455,,,,
6631,3.292,16949,488.75,3455,,,,
6642,3.303,16949,468.75,3455,,,,
6653,3.314,16891,381.25,3455,,,,
6664,3.325,16949,467.5,3455,,,,
6675,3.336,16987,458.75,3455,,,,
6686,3.347,16910,495,3455,,,,
6697,3.358,16930,461.25,3455,,,,
6708,3.369,16930,380,3455,,,,
6719,3.38,16891,468.75,3455,,,,
6730,3.391,16949,443.75,3455,,,,
6742,3.403,16949,393.75,3455,,,,
6753,3.414,16910,510,3455,,,,
6764,3.425,16930,453.75,3455,,,,
6775,3.436,16968,465,3455,,,,
6786,3.447,16949,452.5,3455,,,,
6797,3.458,16930,443.75,3455,,,,
6808,3.469,16930,498.75,3455,,,,
6819,3.48,16968,490,3455,,,,
6830,3.491,16891,505,3455,,,,
6841,3.502,16949,468.75,3455,,,,
6852,3.513,16930,451.25,3455,,,,
6863,3.524,16949,476.25,3455,,,,
6874,3.535,16949,473.75,3455,,,,
6885,3.546,16949,413.75,3455,,,,
6896,3.557,16949,473.75,3455,,,,
6907,3.568,16930,457.5,3455,,,,
6918,3.579,16949,413.75,3455,,,,
6929,3.59,16910,436.25,3455,,,,
6940,3.601,16930,360,3455,,,,
6951,3.612,16930,458.75,3455,,,,
6962,3.623,16949,508.75,3455,,,,
6973,3.634,16930,492.5,3455,,,,
6984,3.645,16930,463.75,3455,,,,
6995,3.656,16949,453.75,3455,,,,
7006,3.667,16930,453.75,3455,,,,
7017,3.678,16930,447.5,3455,,,,
7028,3.689,16930,365,3455,,,,
7040,3.701,16853,457.5,3455,,,,
7051,3.712,16930,510,3455,,,,
7062,3.723,16949,500,3455,,,,
7073,3.734,16930,417.5,3455,,,,
7084,3.745,16968,450,3455,,,,
7095,3.756,16853,470,3455,,,,
7106,3.767,16872,463.75,3455,,,,
7117,3.778,16872,411.25,3455,,,,
7139,3.8,16930,465,3455,,,,
7150,3.811,16930,431.25,3455,,,,
7161,3.822,16930,465,3455,,,,
7172,3.833,16910,430,3455,,,,
7183,3.844,16891,442.5,3455,,,,
7194,3.855,16930,487.5,3455,,,,
7205,3.866,16930,408.75,3455,,,,
7216,3.877,16949,507.5,3455,,,,
7227,3.888,16949,463.75,3455,,,,
7238,3.899,16949,461.25,3455,,,,
7249,3.91,16930,480,3455,,,,
7260,3.921,16930,472.5,3455,,,,
7271,3.932,16930,380,3455,,,,
7282,3.943,17006,451.25,3455,,,,
7293,3.954,16930,456.25,3455,,,,
7304,3.965,16930,450,3455,,,,
7315,3.976,16930,428.75,3455,,,,
7326,3.987,16949,410,3455,,,,
7337,3.998,16949,475,3455,,,,
7348,4.009,16968,478.75,3455,,,,
7359,4.02,16949,435,3455,,,,
7370,4.031,16949,403.75,3455,,,,
7382,4.043,16987,431.25,3455,,,,
7393,4.054,16949,451.25,3455,,,,
7404,4.065,16930,435,3455,,,,
7415,4.076,16987,435,3455,,,,
7426,4.087,16949,372.5,3455,,,,
7437,4.098,16949,478.75,3455,,,,
7448,4.109,16949,425,3455,,,,
7459,4.12,16891,383.75,3455,,,,
7470,4.131,16968,408.75,3455,,,,
7481,4.142,16891,373.75,3455,,,,
7492,4.153,16853,491.25,3455,,,,
7503,4.164,16930,473.75,3455,,,,
7514,4.175,16835,401.25,3455,,,,
7525,4.186,16853,435,3455,,,,
7536,4.197,16949,425,3455,,,,
7547,4.208,17006,477.5,3455,,,,
7558,4.219,16949,443.75,3455,,,,
7569,4.23,16930,463.75,3455,,,,
7580,4.241,16987,460,3455,,,,
7591,4.252,16949,452.5,3455,,,,
7602,4.263,16949,435,3455,,,,
7613,4.274,16910,445,3455,,,,
7624,4.285,16949,442.5,3455,,,,
7635,4.296,16949,460,3455,,,,
7646,4.307,16930,468.75,3455,,,,
7657,4.318,16949,428.75,3455,,,,
7668,4.329,16835,447.5,3455,,,,
7680,4.341,16968,440,3455,,,,
7691,4.352,16949,426.25,3455,,,,
7702,4.363,16930,455,3455,,,,
7713,4.374,16910,477.5,3455,,,,
7724,4.385,16949,382.5,3455,,,,
7735,4.396,16872,423.75,3455,,,,
7746,4.407,16891,366.25,3455,,,,
7757,4.418,16949,436.25,3455,,,,
7768,4.429,16949,420,3455,,,,
7779,4.44,16949,443.75,3455,,,,
7790,4.451,16949,452.5,3455,,,,
7801,4.462,17045,448.75,3455,,,,
7812,4.473,16930,400,3455,,,,
7823,4.484,16930,475,3455,,,,
7834,4.495,16891,466.25,3455,,,,
7845,4.506,16910,362.5,3455,,,,
7856,4.517,16872,452.5,3455,,,,
7867,4.528,16930,470,3455,,,,
7878,4.539,16853,488.75,3455,,,,
7889,4.55,16930,442.5,3455,,,,
7900,4.561,16853,370,3455,,,,
7911,4.572,16930,470,3455,,,,
7922,4.583,16930,433.75,3455,,,,
7933,4.594,16910,485,3455,,,,
7944,4.605,16930,478.75,3455,,,,
7955,4.616,16930,438.75,3455,,,,
7966,4.627,16853,525,3455,,,,
7977,4.638,16910,486.25,3455,,,,
7988,4.649,16910,442.5,3455,,,,
7999,4.66,16930,473.75,3455,,,,
8010,4.671,16930,455,3455,,,,
8022,4.683,16949,472.5,3455,,,,
8033,4.694,16930,493.75,3455,,,,
8044,4.705,16987,403.75,3455,,,,
8055,4.716,16949,485,3455,,,,
8066,4.727,16853,497.5,3455,,,,
8077,4.738,16930,426.25,3455,,,,
8088,4.749,16930,395,3455,,,,
8099,4.76,16949,515,3455,,,,
8110,4.771,16910,510,3455,,,,
8121,4.782,16930,457.5,3455,,,,
8132,4.793,16987,481.25,3455,,,,
8143,4.804,16797,480,3455,,,,
8154,4.815,16872,495,3455,,,,
8165,4.826,17026,433.75,3455,,,,
8176,4.837,16891,406.25,3455,,,,
8187,4.848,16910,473.75,3455,,,,
8198,4.859,16891,478.75,3455,,,,
8209,4.87,16910,492.5,3455,,,,
8220,4.881,16910,395,3455,,,,
8231,4.892,16891,463.75,3455,,,,
8242,4.903,16891,507.5,3455,,,,
8253,4.914,16910,461.25,3455,,,,
8264,4.925,16891,382.5,3455,,,,
8275,4.936,16968,430,3455,,,,
8286,4.947,16930,427.5,3455,,,,
8297,4.958,16853,485,3455,,,,
8308,4.969,16910,481.25,3455,,,,
8320,4.981,16816,490,3455,,,,
8331,4.992,16891,375,3455,,,,
8342,5.003,16910,432.5,3455,,,,
8353,5.014,16910,473.75,3455,,,,
8364,5.025,16910,496.25,3455,,,,
8375,5.036,16816,383.75,3455,,,,
8386,5.047,16891,458.75,3455,,,,
8397,5.058,16910,488.75,3455,,,,
8408,5.069,16930,461.25,3455,,,,
8419,5.08,16910,487.5,3455,,,,
8430,5.091,16930,441.25,3455,,,,
8441,5.102,16910,492.5,3455,,,,
8452,5.113,16891,497.5,3455,,,,
8463,5.124,16910,548.75,3455,,,,
8474,5.135,16930,462.5,3455,,,,
8485,5.146,16910,446.25,3455,,,,
8496,5.157,16930,487.5,3455,,,,
8507,5.168,16910,460,3455,,,,
8518,5.179,16853,0,3455,,,,
8529,5.19,16797,0,3455,,,,
8540,5.201,16722,0,3455,,,,
8551,5.212,16685,0,3455,,,,
8562,5.223,16538,0,3455,,,,
8573,5.234,16538,0,3455,,,,
8584,5.245,16465,0,3455,,,,
8595,5.256,16339,0,3455,,,,
8606,5.267,16304,0,3455,,,,
8617,5.278,16198,0,3455,,,,
8628,5.289,16216,0,3455,,,,
8639,5.3,16163,0,3455,,,,
8650,5.311,16111,0,3455,,,,
8662,5.323,16042,0,3455,,,,
8673,5.334,15940,0,3455,,,,
8684,5.345,15906,0,3455,,,,
8695,5.356,15856,0,3455,,,,
8706,5.367,15789,0,3455,,,,
8717,5.378,15739,0,3455,,,,
8728,5.389,15673,0,3455,,,,
8739,5.4,15608,0,3455,,,,
8750,5.411,15560,0,3455,,,,
8761,5.422,15495,0,3455,,,,
8772,5.433,15447,0,3455,,,,
8783,5.444,15384,0,3455,,,,
8794,5.455,15243,0,3455,,,,
