Adafruit INA260 Test,,,,
Found INA260 chip,,,,
time (ms),time(s), rpm, mA, mA max
14651,9.613,0,111.25,2620
14662,9.624,0,111.25,2620
14673,9.635,0,111.25,2620
14684,9.646,0,111.25,2620
14695,9.657,0,110,2620
14706,9.668,0,110,2620
14717,9.679,0,110,2620
14728,9.69,0,110,2620
14739,9.701,0,110,2620
14750,9.712,0,111.25,2620
14761,9.723,0,110,2620
14772,9.734,0,111.25,2620
14783,9.745,0,110,2620
14794,9.756,0,111.25,2620
14806,9.768,0,110,2620
14817,9.779,0,108.75,2620
14828,9.79,0,111.25,2620
14839,9.801,0,111.25,2620
