time (ms), rpm, mA, mA max
7229, 20949, 701.25, 4416.25,
7240, 20891, 696.25, 4416.25,
7251, 20949, 573.75, 4416.25,
7262, 20920, 652.50, 4416.25,
7273, 20862, 657.50, 4416.25,
7284, 21008, 670.00, 4416.25,
7296, 21008, 612.50, 4416.25,
7307, 20979, 576.25, 4416.25,
7318, 20949, 685.00, 4416.25,
7329, 20949, 702.50, 4416.25,
7340, 21126, 712.50, 4416.25,
7351, 20862, 691.25, 4416.25,
7362, 20979, 601.25, 4416.25,
7373, 21037, 657.50, 4416.25,
7384, 20979, 715.00, 4416.25,
7395, 21037, 653.75, 4416.25,
7406, 21126, 698.75, 4416.25,
7417, 20949, 756.25, 4416.25,
7428, 21067, 691.25, 4416.25,
7439, 20949, 748.75, 4416.25,
7450, 21037, 698.75, 4416.25,
7461, 20949, 698.75, 4416.25,
7472, 21067, 608.75, 4416.25,
7483, 28896, 713.75, 4416.25,
7494, 21126, 618.75, 4416.25,
7505, 21126, 585.00, 4416.25,
7516, 21037, 601.25, 4416.25,
7527, 21067, 712.50, 4416.25,
7538, 21306, 630.00, 4416.25,
7549, 21097, 605.00, 4416.25,
7560, 21067, 478.75, 4416.25,
7571, 21097, 695.00, 4416.25,
7582, 21067, 736.25, 4416.25,
7593, 21186, 650.00, 4416.25,
7604, 21097, 662.50, 4416.25,
7615, 21186, 507.50, 4416.25,
7626, 21067, 686.25, 4416.25,
7638, 21156, 692.50, 4416.25,
7649, 21126, 672.50, 4416.25,
7660, 21186, 611.25, 4416.25,
7671, 21067, 735.00, 4416.25,
7682, 21067, 672.50, 4416.25,
7693, 21067, 685.00, 4416.25,
7704, 23148, 617.50, 4416.25,
7715, 21246, 603.75, 4416.25,
7726, 21186, 493.75, 4416.25,
7737, 21156, 702.50, 4416.25,
7748, 21097, 703.75, 4416.25,
7759, 21126, 696.25, 4416.25,
7770, 14448, 591.25, 4416.25,
7781, 21276, 721.25, 4416.25,
7792, 21156, 668.75, 4416.25,
7803, 21186, 681.25, 4416.25,
7815, 21186, 648.75, 4416.25,
7826, 21216, 607.50, 4416.25,
7837, 21216, 613.75, 4416.25,
7848, 28266, 668.75, 4416.25,
7859, 21097, 675.00, 4416.25,
7870, 21306, 703.75, 4416.25,
7881, 21186, 543.75, 4416.25,
7892, 21276, 482.50, 4416.25,
7903, 21156, 575.00, 4416.25,
7914, 28896, 681.25, 4416.25,
7925, 21156, 716.25, 4416.25,
7936, 21097, 813.75, 4416.25,
7947, 21216, 681.25, 4416.25,
7958, 21216, 691.25, 4416.25,
7969, 21156, 568.75, 4416.25,
7980, 21216, 676.25, 4416.25,
7991, 21067, 700.00, 4416.25,
8002, 21097, 525.00, 4416.25,
8013, 21097, 530.00, 4416.25,
8024, 21186, 617.50, 4416.25,
8035, 21067, 697.50, 4416.25,
8046, 21186, 721.25, 4416.25,
8057, 21246, 658.75, 4416.25,
8068, 21216, 551.25, 4416.25,
8079, 21276, 630.00, 4416.25,
8090, 21246, 576.25, 4416.25,
8101, 21216, 651.25, 4416.25,
8112, 21186, 665.00, 4416.25,
8123, 21216, 660.00, 4416.25,
8134, 21276, 595.00, 4416.25,
8145, 21246, 651.25, 4416.25,
8156, 21246, 683.75, 4416.25,
8167, 21276, 680.00, 4416.25,
8178, 21246, 677.50, 4416.25,
8189, 21306, 710.00, 4416.25,
8200, 21306, 672.50, 4416.25,
8211, 21186, 592.50, 4416.25,
8222, 21306, 672.50, 4416.25,
8233, 21337, 593.75, 4416.25,
8245, 21276, 563.75, 4416.25,
8256, 21276, 655.00, 4416.25,
8267, 21186, 566.25, 4416.25,
8278, 21246, 727.50, 4416.25,
8289, 21306, 656.25, 4416.25,
8300, 21337, 662.50, 4416.25,
8311, 21276, 647.50, 4416.25,
8322, 21276, 595.00, 4416.25,
8333, 21186, 701.25, 4416.25,
8344, 21337, 630.00, 4416.25,
8355, 21337, 696.25, 4416.25,
8366, 21337, 607.50, 4416.25,
8380, 21276, 645.00, 4416.25,
8391, 21306, 747.50, 4416.25,
8402, 21367, 601.25, 4416.25,
8413, 21337, 688.75, 4416.25,
8424, 21276, 645.00, 4416.25,
8435, 21337, 628.75, 4416.25,
8446, 21337, 775.00, 4416.25,
8457, 21398, 602.50, 4416.25,
8468, 21216, 581.25, 4416.25,
8479, 21306, 658.75, 4416.25,
8491, 21398, 658.75, 4416.25,
8502, 21306, 582.50, 4416.25,
8513, 21337, 663.75, 4416.25,
8524, 21246, 688.75, 4416.25,
8535, 21428, 706.25, 4416.25,
8546, 21398, 690.00, 4416.25,
8557, 21337, 653.75, 4416.25,
8568, 21367, 633.75, 4416.25,
8579, 19264, 623.75, 4416.25,
8590, 21367, 675.00, 4416.25,
8601, 21367, 748.75, 4416.25,
8612, 21337, 655.00, 4416.25,
8623, 21367, 677.50, 4416.25,
8634, 21367, 621.25, 4416.25,
8645, 21367, 693.75, 4416.25,
8656, 19264, 616.25, 4416.25,
8667, 21428, 618.75, 4416.25,
8678, 21398, 500.00, 4416.25,
8689, 28896, 688.75, 4416.25,
8700, 21551, 655.00, 4416.25,
8711, 23364, 648.75, 4416.25,
8722, 21276, 653.75, 4416.25,
8733, 21367, 735.00, 4416.25,
8744, 28896, 616.25, 4416.25,
8755, 21489, 680.00, 4416.25,
8766, 21337, 601.25, 4416.25,
8777, 21246, 571.25, 4416.25,
8788, 21337, 665.00, 4416.25,
8799, 21459, 591.25, 4416.25,
8810, 21367, 717.50, 4416.25,
8821, 21459, 612.50, 4416.25,
8832, 21337, 748.75, 4416.25,
8843, 21367, 643.75, 4416.25,
8854, 21398, 745.00, 4416.25,
8865, 21337, 601.25, 4416.25,
8876, 21489, 716.25, 4416.25,
8888, 21398, 676.25, 4416.25,
8899, 21276, 722.50, 4416.25,
8910, 21337, 620.00, 4416.25,
8922, 21398, 627.50, 4416.25,
8933, 21489, 618.75, 4416.25,
8944, 21428, 743.75, 4416.25,
8955, 21551, 605.00, 4416.25,
8966, 21337, 628.75, 4416.25,
8977, 21367, 638.75, 4416.25,
8988, 21428, 607.50, 4416.25,
8999, 21428, 761.25, 4416.25,
9010, 21428, 620.00, 4416.25,
9021, 21489, 591.25, 4416.25,
9032, 21520, 645.00, 4416.25,
9043, 21459, 758.75, 4416.25,
9054, 21428, 692.50, 4416.25,
9065, 21428, 595.00, 4416.25,
9076, 21398, 587.50, 4416.25,
9088, 21428, 687.50, 4416.25,
9099, 21337, 631.25, 4416.25,
9112, 21367, 721.25, 4416.25,
9123, 21398, 631.25, 4416.25,
9134, 21337, 641.25, 4416.25,
9145, 21428, 696.25, 4416.25,
9156, 21337, 666.25, 4416.25,
9167, 21398, 722.50, 4416.25,
9178, 21428, 590.00, 4416.25,
9189, 21398, 668.75, 4416.25,
9200, 21398, 601.25, 4416.25,
9211, 21428, 566.25, 4416.25,
9222, 21398, 691.25, 4416.25,
9233, 21428, 701.25, 4416.25,
9244, 21459, 670.00, 4416.25,
9255, 21367, 581.25, 4416.25,
9266, 21520, 648.75, 4416.25,
9277, 21428, 632.50, 4416.25,
9288, 21428, 773.75, 4416.25,
9299, 21398, 572.50, 4416.25,
9310, 21428, 682.50, 4416.25,
9321, 21428, 671.25, 4416.25,
9332, 21459, 553.75, 4416.25,
9344, 21367, 560.00, 4416.25,
9355, 21428, 712.50, 4416.25,
9366, 21398, 696.25, 4416.25,
9377, 21428, 701.25, 4416.25,
9388, 21367, 612.50, 4416.25,
9399, 21520, 582.50, 4416.25,
9410, 21398, 698.75, 4416.25,
9421, 21489, 651.25, 4416.25,
9432, 21551, 700.00, 4416.25,
9443, 21551, 666.25, 4416.25,
9454, 21520, 607.50, 4416.25,
9465, 21459, 725.00, 4416.25,
9476, 21520, 827.50, 4416.25,
9487, 21489, 628.75, 4416.25,
9498, 21613, 645.00, 4416.25,
9509, 21551, 610.00, 4416.25,
9520, 21613, 711.25, 4416.25,
9531, 21489, 715.00, 4416.25,
9542, 21645, 727.50, 4416.25,
9553, 21459, 670.00, 4416.25,
9564, 21459, 748.75, 4416.25,
9575, 21428, 537.50, 4416.25,
9586, 21520, 585.00, 4416.25,
9597, 21613, 617.50, 4416.25,
9608, 19264, 612.50, 4416.25,
9619, 21459, 700.00, 4416.25,
9630, 21428, 652.50, 4416.25,
9641, 21551, 682.50, 4416.25,
9652, 21520, 606.25, 4416.25,
9663, 21398, 545.00, 4416.25,
9674, 21551, 690.00, 4416.25,
9686, 21398, 597.50, 4416.25,
9697, 21551, 692.50, 4416.25,
9708, 21582, 701.25, 4416.25,
9719, 21582, 681.25, 4416.25,
9730, 21676, 700.00, 4416.25,
9741, 21520, 496.25, 4416.25,
9752, 21613, 661.25, 4416.25,
9763, 21520, 578.75, 4416.25,
9774, 21459, 578.75, 4416.25,
9785, 21489, 602.50, 4416.25,
9796, 21645, 606.25, 4416.25,
9807, 21551, 636.25, 4416.25,
9818, 21489, 643.75, 4416.25,
9829, 21551, 670.00, 4416.25,
9840, 21489, 763.75, 4416.25,
9851, 21489, 621.25, 4416.25,
9862, 21613, 563.75, 4416.25,
9875, 21551, 655.00, 4416.25,
9886, 21489, 640.00, 4416.25,
9897, 21428, 617.50, 4416.25,
9908, 21459, 712.50, 4416.25,
9919, 21398, 566.25, 4416.25,
9930, 21459, 678.75, 4416.25,
9942, 21459, 660.00, 4416.25,
9953, 21551, 650.00, 4416.25,
9964, 21520, 632.50, 4416.25,
9975, 21520, 672.50, 4416.25,
9986, 21520, 563.75, 4416.25,
9997, 21613, 571.25, 4416.25,
10008, 21337, 605.00, 4416.25,
10019, 21428, 682.50, 4416.25,
10030, 21582, 650.00, 4416.25,
10041, 21428, 667.50, 4416.25,
10052, 5713, 693.75, 4416.25,
10067, 21613, 735.00, 4416.25,
10078, 21489, 622.50, 4416.25,
10089, 21489, 617.50, 4416.25,
10100, 21459, 721.25, 4416.25,
10112, 21428, 0.00, 4416.25,
10123, 21337, 0.00, 4416.25,
10134, 21246, 0.00, 4416.25,
10145, 21186, 0.00, 4416.25,
10156, 21037, 0.00, 4416.25,
10167, 20949, 0.00, 4416.25,
10178, 20949, 0.00, 4416.25,
10189, 20746, 0.00, 4416.25,
10200, 20689, 0.00, 4416.25,
10211, 20604, 0.00, 4416.25,
10222, 20491, 0.00, 4416.25,
10233, 20380, 0.00, 4416.25,
10244, 20325, 0.00, 4416.25,
10255, 20242, 0.00, 4416.25,
10266, 20161, 0.00, 4416.25,
10277, 20053, 0.00, 4416.25,
10288, 19973, 0.00, 4416.25,
10299, 19893, 0.00, 4416.25,
10310, 19762, 0.00, 4416.25,
10321, 19710, 0.00, 4416.25,
10332, 19633, 0.00, 4416.25,
10343, 19582, 0.00, 4416.25,
10354, 19455, 0.00, 4416.25,
10365, 19404, 0.00, 4416.25,
10376, 19305, 0.00, 4416.25,
10387, 19230, 0.00, 4416.25,
10398, 19108, 0.00, 4416.25,
10409, 19157, 0.00, 4416.25,
10420, 18987, 0.00, 4416.25,
10431, 18891, 0.00, 4416.25,
10442, 18750, 0.00, 4416.25,
10454, 18633, 0.00, 4416.25,
10465, 18679, 0.00, 4416.25,
10476, 18518, 0.00, 4416.25,
10487, 18518, 0.00, 4416.25,
10498, 18404, 0.00, 4416.25,
10509, 18315, 0.00, 4416.25,
10520, 18226, 0.00, 4416.25,
10531, 18181, 0.00, 4416.25,
10542, 18115, 0.00, 4416.25,
10553, 17985, 0.00, 4416.25,
10564, 17985, 0.00, 4416.25,
10575, 17835, 0.00, 4416.25,
10586, 17835, 0.00, 4416.25,
10597, 17709, 0.00, 4416.25,
10608, 17626, 0.00, 4416.25,
10619, 17626, 0.00, 4416.25,
10630, 17543, 0.00, 4416.25,
10641, 17401, 0.00, 4416.25,
10652, 17361, 0.00, 4416.25,
10663, 17281, 0.00, 4416.25,
10674, 17182, 0.00, 4416.25,
10685, 17142, 0.00, 4416.25,
10696, 17064, 0.00, 4416.25,
10707, 16987, 0.00, 4416.25,
10718, 16949, 0.00, 4416.25,
10729, 16872, 0.00, 4416.25,
10740, 16816, 0.00, 4416.25,
10752, 16722, 0.00, 4416.25,
10763, 16685, 0.00, 4416.25,
10774, 16592, 0.00, 4416.25,
10785, 16538, 0.00, 4416.25,
10796, 16501, 0.00, 4416.25,
10807, 16429, 0.00, 4416.25,
10818, 16251, 0.00, 4416.25,
10829, 16286, 0.00, 4416.25,
10840, 16216, 0.00, 4416.25,
10851, 16146, 0.00, 4416.25,
10862, 16094, 0.00, 4416.25,
10873, 16025, 0.00, 4416.25,
10884, 15957, 0.00, 4416.25,
10895, 15889, 0.00, 4416.25,
10906, 15906, 0.00, 4416.25,
10917, 15789, 0.00, 4416.25,
10928, 15673, 0.00, 4416.25,
10939, 15608, 0.00, 4416.25,
10950, 15576, 0.00, 4416.25,
10961, 15544, 0.00, 4416.25,
10972, 15463, 0.00, 4416.25,
10983, 15400, 0.00, 4416.25,
10994, 15337, 0.00, 4416.25,
11005, 15290, 0.00, 4416.25,
11016, 15166, 0.00, 4416.25,
11027, 15182, 0.00, 4416.25,
11038, 15120, 0.00, 4416.25,
11049, 15045, 0.00, 4416.25,
11060, 15000, 0.00, 4416.25,
11071, 14910, 0.00, 4416.25,
11082, 14822, 0.00, 4416.25,
11094, 14807, 0.00, 4416.25,
11105, 14763, 0.00, 4416.25,
11116, 14691, 0.00, 4416.25,
11127, 14563, 0.00, 4416.25,
11138, 14619, 0.00, 4416.25,
11149, 14520, 0.00, 4416.25,
11160, 14354, 0.00, 4416.25,
11171, 14395, 0.00, 4416.25,
11182, 14340, 0.00, 4416.25,
11193, 14245, 0.00, 4416.25,
11204, 14218, 0.00, 4416.25,
11215, 14177, 0.00, 4416.25,
11226, 14084, 0.00, 4416.25,
11237, 14044, 0.00, 4416.25,
11248, 13966, 0.00, 4416.25,
11259, 13953, 0.00, 4416.25,
11270, 13888, 0.00, 4416.25,
11281, 13786, 0.00, 4416.25,
11292, 13761, 0.00, 4416.25,
11303, 13723, 0.00, 4416.25,
11314, 13698, 0.00, 4416.25,
11325, 13648, 0.00, 4416.25,
11336, 13525, 0.00, 4416.25,
11347, 13501, 0.00, 4416.25,
11358, 13464, 0.00, 4416.25,
11369, 13416, 0.00, 4416.25,
11380, 13345, 0.00, 4416.25,
11392, 13297, 0.00, 4416.25,
11403, 13262, 0.00, 4416.25,
11414, 13204, 0.00, 4416.25,
11425, 13123, 0.00, 4416.25,
11436, 13066, 0.00, 4416.25,
11447, 13043, 0.00, 4416.25,
11458, 12975, 0.00, 4416.25,
11469, 12908, 0.00, 4416.25,
11480, 12853, 0.00, 4416.25,
11491, 12809, 0.00, 4416.25,
