shot, time, fps, rpm
Shot #1 @ 7.6 sec,  69.9 fps
Shot #2 @ 10.8 sec,  70.9 fps
Shot #3 @ 13.9 sec,  69.7 fps
Shot #4 @ 17.1 sec,  71.2 fps
Shot #5 @ 20.0 sec,  75.2 fps
Shot #6 @ 23.0 sec,  69.4 fps
Shot #7 @ 26.2 sec,  72.5 fps
Shot #8 @ 29.1 sec,  72.7 fps
Shot #9 @ 32.3 sec,  74.2 fps
Shot #10 @ 35.7 sec,  81.0 fps


